aggregation_level,arm,conditional_mean_d,distractor_value,episode_count,fraction_of_checkpoint_i_swap,label,new,old,query,seed,slot,source_state_sha256,step,sum_d,tail_rank,target_slot
ordered_triad,hard-factorized-cosine-6400,0.493782981403917,,18,0.0016855512212395896,,16,15,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,8.888093665270507,7,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,2.989936764460822,-1,2,0.0011340320555932627,1,11,24,26,100,3,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,5.979873528921644,7,1
ordered_triad,hard-factorized-cosine-6400,0.3605505688316377,,24,0.0016410082283109233,,0,13,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,8.653213651959305,8,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,2.6367321479402523,-1,2,0.0010000675644110948,1,7,2,26,100,0,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,5.273464295880505,8,1
ordered_triad,hard-factorized-cosine-6400,0.39944621765043714,,21,0.0015907829948768317,,16,28,6,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,8.38837057065918,9,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,1.6572275414336695,1,3,0.000942837242113061,-1,13,28,21,100,1,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.971682624301009,9,0
ordered_triad,hard-factorized-cosine-6400,0.7397104600973179,,11,0.001543077636184052,,1,21,6,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,8.136815061070497,10,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,1.6480757999642464,-1,3,0.0009376305927714153,1,16,15,26,100,1,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.944227399892739,10,3
ordered_triad,hard-factorized-cosine-6400,0.47759499832482866,,17,0.0015397209650374656,,14,15,25,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,8.119114971522087,11,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,1.5834473979468562,1,3,0.0009008619156906951,-1,11,28,21,100,2,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.750342193840568,11,0
ordered_triad,hard-factorized-cosine-6400,0.34054513411715204,,22,0.0014207926179611997,,30,13,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.491992950577345,12,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,2.375080405191291,1,2,0.0009008275178635979,-1,7,19,0,100,3,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.750160810382582,12,0
ordered_triad,hard-factorized-cosine-6400,0.5345233777102687,,14,0.0014191492488896116,,11,18,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.483327287943762,13,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,2.2056339240744514,1,2,0.0008365593555472533,-1,28,8,21,100,2,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.411267848148903,13,1
ordered_triad,hard-factorized-cosine-6400,0.3104558884951911,,24,0.0014130075267918501,,4,7,28,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.450941323884587,14,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,2.1976904902425094,1,2,0.0008335465464791889,-1,23,28,21,100,1,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.395380980485019,14,3
ordered_triad,hard-factorized-cosine-6400,0.2657738723402531,,28,0.0014112490006399502,,23,15,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.441668425527087,15,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,2.1092278425001503,1,2,0.0007999941719089592,-1,8,5,18,100,0,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.2184556850003005,15,1
ordered_triad,hard-factorized-cosine-6400,0.37005797910442306,,20,0.001403566843689267,,28,31,21,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.401159582088461,16,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,4.17320989335218,-1,1,0.0007914136930975761,1,11,23,26,100,3,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.17320989335218,16,2
ordered_triad,hard-factorized-cosine-6400,0.3695041311346957,,20,0.0014014661927355026,,6,7,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.390082622693914,17,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,4.117873568026198,-1,1,0.0007809196305634949,1,11,1,26,100,1,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.117873568026198,17,2
ordered_triad,hard-factorized-cosine-6400,0.33230615941011926,,22,0.001386418688427107,,7,14,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.310735507022624,18,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,4.115398274322629,-1,1,0.0007804502122065216,1,7,8,26,100,3,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.115398274322629,18,1
ordered_triad,hard-factorized-cosine-6400,0.33223268558062313,,22,0.001386112147343112,,18,15,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.309119082773709,19,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,4.11245955765304,-1,1,0.0007798929096332308,1,21,7,26,100,1,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.11245955765304,19,2
ordered_triad,hard-factorized-cosine-6400,0.3641042716777136,,20,0.0013809854461434574,,16,14,26,100,,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,7.282085433554272,20,
ordered_triad_slot_value_stratum,hard-factorized-cosine-6400,4.045894865727462,-1,1,0.0007672694830592064,1,11,21,26,100,3,0b1197467e76b5a6d10eed0873fa32e88b3aaa9cf7497708a6313af689a947a6,1600,4.045894865727462,20,1
ordered_triad,hard-factorized-constant-6400,0.3379544274397094,,28,0.0025770140495405386,,23,15,26,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,9.462723968311863,1,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,1.668239806251699,1,4,0.0018172684453693789,-1,29,25,19,100,2,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.672959225006796,1,1
ordered_triad,hard-factorized-constant-6400,0.305958479543934,,29,0.0024163570433875553,,13,27,15,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,8.872795906774087,2,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,2.9985949371975273,-1,2,0.0016332340049051899,1,8,11,26,100,0,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,5.997189874395055,2,3
ordered_triad,hard-factorized-constant-6400,0.3467260385404071,,22,0.0020773503765248737,,0,16,9,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,7.627972847888956,3,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,2.4787774459337673,1,2,0.0013501068667429626,-1,8,5,18,100,0,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.9575548918675345,3,1
ordered_triad,hard-factorized-constant-6400,0.3710381442790959,,20,0.0020209202211216126,,19,30,3,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,7.420762885581919,4,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,4.09829742508791,1,1,0.0011161025175218644,-1,31,9,19,100,0,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.09829742508791,4,1
ordered_triad,hard-factorized-constant-6400,0.3673060614638297,,20,0.0020005928188192804,,9,10,19,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,7.346121229276594,5,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,1.359323992404035,-1,3,0.001110567222937075,1,15,18,26,100,3,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.077971977212105,5,2
ordered_triad,hard-factorized-constant-6400,0.35332249981310043,,20,0.0019244290525354492,,7,13,19,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,7.066449996262008,6,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,4.069169877080242,-1,1,0.0011081701187014201,1,7,23,26,100,2,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.069169877080242,6,0
ordered_triad,hard-factorized-constant-6400,0.3917401899423532,,18,0.0019203095830937537,,16,15,26,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,7.051323418962358,7,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,1.3536499824673374,1,3,0.0011059315588176097,-1,1,8,2,100,0,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.060949947402012,7,2
ordered_triad,hard-factorized-constant-6400,0.3715939591206697,,18,0.0018215528021880453,,8,11,26,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.688691264172055,8,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,4.060414948086194,1,1,0.0011057858607334244,-1,9,10,19,100,2,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.060414948086194,8,1
ordered_triad,hard-factorized-constant-6400,0.35162183496843613,,19,0.001819407796908422,,29,25,19,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.680814864400286,9,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,2.0288258930362773,-1,2,0.001105033359936175,1,15,6,26,100,3,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.0576517860725545,9,0
ordered_triad,hard-factorized-constant-6400,0.3867580658496009,,17,0.0017905601534703751,,28,12,7,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.574887119443215,10,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,4.047479023640918,-1,1,0.0011022629788284988,1,11,21,26,100,3,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.047479023640918,10,1
ordered_triad,hard-factorized-constant-6400,0.31306291066971925,,20,0.001705148584884374,,5,21,19,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.261258213394385,11,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,4.037382754457909,1,1,0.0010995134293732165,-1,27,9,19,100,0,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.037382754457909,11,2
ordered_triad,hard-factorized-constant-6400,0.32607773742336404,,19,0.001687234178501973,,19,5,3,100,,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,6.195477011043916,12,
ordered_triad_slot_value_stratum,hard-factorized-constant-6400,4.033930666565087,1,1,0.0010985733111757675,-1,31,21,19,100,3,355f44ce657bd444cbf4a2b4b2277a7893dce7451f6d52fad95625d3dea04f12,1600,4.033930666565087,12,0
