arm,cell_id,seed,source_accuracy,source_i_swap_b2048,source_population_risk,source_row_sha256,source_state_relative_path,source_state_sha256,source_walsh_l_w,source_xi_value,step,tier_role
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,101,1.0,2.8298945835558698e-06,2.928433520347682e-06,9e24b564669c48fb5dce19b769b86b8e03d661a45e648c06fa7a2eb3d53a2e17,seeds/hard-dense-direct-constant-6400-a8450bd9ed4e/seed-101/checkpoint_states/step-6400.pt,6917d052cc9db0155bd2ea059b1ddc183e12c19f6bc313daa472fd79307a78f2,3.4656476892165177e-06,1.0010201930999756,6400,tier1_dense_capacity_upper_bound
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,101,0.987060546875,0.04178308695554733,0.023914686621155905,cb3e3a87bbe75917bee4a2fb715ebe9362551a97ca93c908de0d4b182dc3926f,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-101/checkpoint_states/step-800.pt,239ad1d980365dff74487864bbd477530c553c9e4bd04d696fbedb4bfaddb407,0.036837499606555066,0.9733155369758606,800,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,101,0.9971923828125,0.018967853859066963,0.005801049432704643,4c49ec0b1d92fb153813d8ad61e02413175793c3555262c420bdcbddeaf52314,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-101/checkpoint_states/step-1600.pt,988e01d2e69e9ef3cbff2f3b716a06839496c1f4e2996b5e93af90956fe56eee,0.00980816224034343,0.9935907125473022,1600,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,101,0.9984130859375,0.00406300462782383,0.0027108430814550316,637cdf30d59178243a3596c975f6d07d79ccba9f917bb6f7fe9d205ce87d7540,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-101/checkpoint_states/step-3200.pt,16e6329a75e8952162b1b11d35a4774e8b1f3698d9c79c030dec754c55a57ba8,0.004814644403614726,0.9939379096031189,3200,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,101,0.9990234375,0.002181719057261944,0.0014160380007871933,3b76266df33d566964a0644dfdf1c1245f6c438277c95605653ea9cc65c4f9b6,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-101/checkpoint_states/step-6400.pt,91247d2b255f703a4b8f63360683b5e605e09d731befd08603f0b126c4cb1821,0.00243686788396318,0.9951310157775879,6400,tier1_training_limit_baseline
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,101,0.987060546875,0.04178308695554733,0.023914686621155905,91559072d9ca2a7cadb48bc8b880808d1d70aa7260bcf136140d9a5f373048e5,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-101/checkpoint_states/step-800.pt,239ad1d980365dff74487864bbd477530c553c9e4bd04d696fbedb4bfaddb407,0.036837499606555066,0.9733155369758606,800,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,101,0.9976806640625,0.013256567530333996,0.004891126348592225,8a75941dcde554c6bba447ea392edd0d9b7b877aba3403bd78f3671833f2f2b5,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-101/checkpoint_states/step-1600.pt,1cbcd5c4c1465cf629c772c9db728ddb01dfdce693a21c2fab86593f5e833310,0.008298198568051997,0.9920552968978882,1600,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,101,0.9996337890625,0.0017313086427748203,0.0008227067871812064,9dec47d261704cc6290cd03bb3faa4c0f93369b38505e5aa313979b02ff39c40,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-101/checkpoint_states/step-3200.pt,96a71449b48722ab2a506eaa6100d9804558966eda555ee025c0430ae9e67a0d,0.0014128481998757448,0.999591588973999,3200,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,101,0.9998779296875,0.00035336395376361907,0.00035089675181291104,ab83e8e13c64b9e695182250c158774c3c78b471de3d1a8dc3257dfac0aba184,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-101/checkpoint_states/step-6400.pt,398957820516ca458c4a7a117f548d0039501cde7575b12a5322c105b9f84c7a,0.000629057352875871,1.0000184774398804,6400,tier1_schedule_control
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,101,0.9990234375,0.006965192034840584,0.0017669474647289034,195c1158301222390586e8cb9f1c294d76a2d66c1e2f2fe682c4aba6754e5483,seeds/hard-rank-matched-constant-6400-e4d3bef28141/seed-101/checkpoint_states/step-6400.pt,0cb6f1760ac7ac973c9a2c50d37e3327d4d013c4d1cd3d3d0cc7b007a5b2b543,0.0030281079350300295,0.9979736804962158,6400,tier1_rank_matched_conditioning_control
h1-dense-direct-constant-6400,h1-dense-direct-constant-6400-452a4fe7bf0d,102,1.0,3.812582235696027e-06,3.7981424384005993e-06,e27f4fff664279ad1e64cc8b7736454fc79e5d6860919ad4b15c2c0f8de870b4,seeds/h1-dense-direct-constant-6400-452a4fe7bf0d/seed-102/checkpoint_states/step-6400.pt,956c36e722fcaedfe0739fc72e9247628aef713c84664a3d11618fa229d5b8e6,6.16109715468455e-06,1.0007188320159912,6400,tier2_full_rank_direct_calibration
h1-factorized-constant-6400,h1-factorized-constant-6400-d57899ee3aaf,102,1.0,2.51304118137341e-06,2.0200331981029963e-06,368d46174b9b981766f463d3854441f81d7325df1ca22661ff11db5e3156e948,seeds/h1-factorized-constant-6400-d57899ee3aaf/seed-102/checkpoint_states/step-6400.pt,cf789c5bd8a865c74c9f7f63015efff79aea0381b55c764c457a78afcc606b3a,2.7645522304940153e-06,1.0007784366607666,6400,tier2_full_rank_factorized_calibration
hard-dense-direct-constant-6400,hard-dense-direct-constant-6400-a8450bd9ed4e,102,1.0,6.345818292174954e-06,6.5949996282281325e-06,2763714df67e9fcdf7b3db9dd349a84fa12e8184303e8864790904561a3a2c44,seeds/hard-dense-direct-constant-6400-a8450bd9ed4e/seed-102/checkpoint_states/step-6400.pt,47c49973568983103fe119e195e15f73132d37b68abdd328e62b99b8fc177782,6.3112941617912265e-06,1.0020337104797363,6400,tier1_dense_capacity_upper_bound
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,102,0.988037109375,0.045908741652965546,0.02001940736844603,2d39a8da2ef669ae13949dcd848c05634932b695d206d953133409f96bcc94b8,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-102/checkpoint_states/step-800.pt,feea0d2fe38fdc7c4608f5ae5187c651f3854e45c869e7b467097001ffd7a33e,0.0315698587963166,0.9582105875015259,800,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,102,0.996826171875,0.012990828603506088,0.005497225053999185,391d22e4b7d1bee15a625d16a309d371cf0dbd4f7f94faad17252f23f7d04c06,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-102/checkpoint_states/step-1600.pt,fb2ea7f183ce2d62657fb819b4dd3e6aa9c42763ace99a0df02e8f2decd7050b,0.009327556531356626,0.9967126846313477,1600,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,102,0.9979248046875,0.009271674789488316,0.004076955039338536,660be785c0f7da6032e677c8cc8b859d912ff15650730654a546ef5ebf32556e,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-102/checkpoint_states/step-3200.pt,d3ed1a1e755521b80a42a618281f3e57dae154009c7d29fdf819e0c75df4d659,0.006973311000523404,0.9940837621688843,3200,tier1_training_limit_baseline
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,102,0.998046875,0.011496568098664284,0.002989005617193803,20eb5c19e9d527752561262d8938e33baaafe58f755be3af5ea79e90893053ad,seeds/hard-factorized-constant-6400-6e9beb2f8bd9/seed-102/checkpoint_states/step-6400.pt,3c67727f3ced43fb6e4855e39803fb4113e0e580476d174b96d7ee2598c9bbe4,0.005280582347157046,1.00394868850708,6400,tier1_training_limit_baseline
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,102,0.988037109375,0.045908741652965546,0.02001940736844603,e1386f17599ee0ba120e8b722a9c2696a05c29b3e5374374aaa93b6a1af1e788,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-102/checkpoint_states/step-800.pt,feea0d2fe38fdc7c4608f5ae5187c651f3854e45c869e7b467097001ffd7a33e,0.0315698587963166,0.9582105875015259,800,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,102,0.9947509765625,0.014326096512377262,0.009090834610773542,f6a251b4b5f1c837977240feb0741b497fbe666b0f2e14bdf9a1e31b43468df0,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-102/checkpoint_states/step-1600.pt,f75c27cbd82e655fb9d85be97dbaeb2f194bb032f895d35689a992fdc7294fea,0.015678135220007862,0.9921757578849792,1600,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,102,0.9984130859375,0.006167175713926554,0.002454327069878482,8494a6c0e1a766c3364366ecbf12106f0b057f8797d84e030dea7f83ef0b50a5,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-102/checkpoint_states/step-3200.pt,24c2063610db9f8a21fe064e908d5a0213ee4f726c7627c7a7f4a5ef0bce3dc3,0.004236735311304129,0.9972603917121887,3200,tier1_schedule_control
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,102,0.9996337890625,0.0006381129496730864,0.0007788187920061844,90a9e87b2d934edc4b10a8bacd146124184ec9d4b6aac92b15e8f6c2233c5248,seeds/hard-factorized-cosine-6400-14c47274dde1/seed-102/checkpoint_states/step-6400.pt,990ec1d30742e25a3e423e112ac8135cb6125f6cd85166ae98d4c0ab067848c3,0.0014022341877283162,0.9991629719734192,6400,tier1_schedule_control
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,102,0.9967041015625,0.011910341680049896,0.005896369734979628,2218f4e82bba47470e4ae25d00742c7d180913c7b48581c398be38f19e405437,seeds/hard-rank-matched-constant-6400-e4d3bef28141/seed-102/checkpoint_states/step-6400.pt,e670bdb8fcd05bcb69b65576e51ad02f44722f9c0cf8697a6f5f66a0285aadb0,0.010224310488514327,0.9899367094039917,6400,tier1_rank_matched_conditioning_control
