cell,cell_index,head,layer,metric,module,optimizer,raw_cell_id,seed,step,value
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_self_mass,attention,adamw,cell-004-3bbcb7f3f746,1,0,0.05252569541335106
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_target_mass,attention,adamw,cell-004-3bbcb7f3f746,1,0,0.23413461446762085
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_target_over_distractor_log_margin,attention,adamw,cell-004-3bbcb7f3f746,1,0,-0.23383772373199463
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_mean_distractor_mass,attention,adamw,cell-004-3bbcb7f3f746,1,0,0.17841602861881256
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_self_mass,attention,adamw,cell-004-3bbcb7f3f746,1,0,0.28580403327941895
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_mass,attention,adamw,cell-004-3bbcb7f3f746,1,0,0.17894786596298218
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_over_distractor_log_margin,attention,adamw,cell-004-3bbcb7f3f746,1,0,-0.1693730652332306
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,1,0,-0.0005402518436312675
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,1,0,0.25899261236190796
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,1,0,0.47265625
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,1,0,-0.0014363662339746952
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,1,0,-0.00197661854326725
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,1,0,-0.008260289207100868
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,1,0,0.2070310115814209
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,1,0,0.443359375
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,1,0,-0.022809848189353943
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,1,0,-0.03107013739645481
