cell,maximum,mean,metric,minimum,n_seeds,optimizer,standard_deviation,step
C16-d16-L2-H1-m4-ffn32,0.6505168080329895,0.10791870835237205,walsh_total_error_energy,0.004715419840067625,12,adamw,0.1946490691370998,50
C16-d16-L2-H1-m4-ffn32,0.5245074033737183,0.4904708464940389,attention_key_selectivity,0.4432476758956909,12,adamw,0.030660847689443736,100
C16-d16-L2-H1-m4-ffn32,0.08504612557590008,0.06118410862109158,attention_mean_distractor_mass,0.012218291347380728,12,adamw,0.022637958251684614,100
C16-d16-L2-H1-m4-ffn32,0.5050653275102377,0.26479273367052275,attention_self_mass,0.1609661541879177,12,adamw,0.10344708730213178,100
C16-d16-L2-H1-m4-ffn32,0.5957738757133484,0.5516549461899558,attention_target_mass,0.45827979006571695,12,adamw,0.042929698865531676,100
C16-d16-L2-H1-m4-ffn32,4.414195477962494,3.539102186759313,attention_target_over_distractor_log_margin,2.8411449193954468,12,adamw,0.4643068596778271,100
C16-d16-L2-H1-m4-ffn32,1.0,1.0,donor_accuracy,1.0,12,adamw,0.0,100
C16-d16-L2-H1-m4-ffn32,0.011572654359042645,0.0013870707698515616,donor_risk,0.00017444477998651564,12,adamw,0.0032178271331566146,100
C16-d16-L2-H1-m4-ffn32,0.8012735247612,0.7483246028423309,embedding_coherence,0.667876660823822,12,adamw,0.0445434675536026,100
C16-d16-L2-H1-m4-ffn32,7.150656223297119,6.14672573407491,embedding_effective_rank,4.862272262573242,12,adamw,0.6726706365589049,100
C16-d16-L2-H1-m4-ffn32,0.0004985875348211266,6.815560103253422e-05,ffn_branch_signed,-0.0002979456330649555,12,adamw,0.00022204650959540986,100
C16-d16-L2-H1-m4-ffn32,0.41953641176223755,0.3249418567866087,ffn_cancellation_fraction,0.21136292815208435,12,adamw,0.06689411850481583,100
C16-d16-L2-H1-m4-ffn32,0.7392578125,0.6239420572916666,ffn_opposition_rate,0.533203125,12,adamw,0.06793121077203144,100
C16-d16-L2-H1-m4-ffn32,0.003394003608264029,0.00017663501444076246,ffn_skip_signed,-0.0009326598083134741,12,adamw,0.0011280520715210801,100
C16-d16-L2-H1-m4-ffn32,0.003301063581602648,0.0002447906474571937,ffn_total_signed,-0.0006190675194375217,12,adamw,0.001101139522671477,100
