cell,desired_direction,eligibility_rule,metric,n_common_eligible_seeds,n_resamples,optimizer_delta_difference,optimizer_delta_difference_ci_high,optimizer_delta_difference_ci_low,primary_ci_excludes_zero,primary_ci_high,primary_ci_low,primary_estimate,primary_function_success_count,primary_optimizer,qualitative_direction_agreement,replication_ci_direction_pass,replication_ci_excludes_zero,replication_ci_high,replication_ci_low,replication_estimate,replication_function_success_count,replication_optimizer,replication_supports_desired_direction,rng_seed,same_direction,two_optimizer_ci_direction_pass,two_optimizer_support_desired_direction
C16-d16-L2-H1-m4-ffnnone,descriptive,function_gate,embedding_coherence,12,20000,-0.02131710449854533,0.019897556677460584,-0.0611926765491565,True,0.18700411704679326,0.08155373483896258,0.13442843655745187,12,adamw,True,True,True,0.15797027250130966,0.06819401979446411,0.11311133205890656,12,sgd,False,20260815,True,True,False
C16-d16-L2-H1-m4-ffnnone,descriptive,function_gate,embedding_effective_rank,12,20000,0.37486350536346436,0.6015941411256788,0.13931979537010192,True,-1.6677225788434349,-2.1707379976908365,-1.93582022190094,12,adamw,True,True,True,-1.3322035829226178,-1.8055188655853271,-1.5609567165374756,12,sgd,False,20260815,True,True,False
C16-d16-L2-H1-m4-ffnnone,increase,all_scheduled,function_accuracy,12,20000,0.0,0.0,0.0,True,0.5397135416666666,0.466796875,0.5032552083333334,12,adamw,True,True,True,0.5397135416666666,0.466796875,0.5032552083333334,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffnnone,increase,function_gate,key_selectivity,12,20000,-0.04994524518648783,0.0015183628847201523,-0.10075027433534463,True,0.5831722140132721,0.48563692827059035,0.5318844078380304,12,adamw,True,True,True,0.5114992891535316,0.45565270908021677,0.4819391626515426,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffnnone,decrease,all_scheduled,natural_swap_mae,12,20000,0.00024008238688111305,0.0020747022184271673,-0.0010755652062168033,True,-0.16348932641946398,-0.22346254398823173,-0.19149439504447704,12,adamw,True,True,True,-0.16296800179115964,-0.22388890382038273,-0.19125431265759593,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffnnone,decrease,all_scheduled,natural_swap_mse,12,20000,7.027689055879212e-06,7.741951151653362e-05,-4.110158757650121e-05,True,-0.05498155140026978,-0.11982181502144347,-0.08415970830181625,12,adamw,True,True,True,-0.054957469463621164,-0.11981946239485144,-0.08415268061276038,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffnnone,decrease,function_and_donor_gate,ov_distractor_gain,12,20000,-0.03319963067770004,0.09082880839705458,-0.13572871523598828,True,0.17649110195537407,0.0654738783215483,0.11937449872493744,12,adamw,True,False,False,0.22774102066953977,-0.016048626663784187,0.0861748680472374,12,sgd,False,20260815,True,False,False
C16-d16-L2-H1-m4-ffnnone,increase,function_and_donor_gate,ov_log_target_over_distractor_gain,12,20000,0.041296178785463176,0.27274489629392806,-0.1576495157166694,True,1.1773711419155006,0.8126457754449803,1.0024041148329463,12,adamw,True,True,True,1.1120692277133155,0.980238461632204,1.0437002936184097,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffnnone,increase,function_and_donor_gate,ov_target_gain,12,20000,-0.10916199286778767,0.4873788495858496,-0.6088732233891885,True,2.412747224109868,1.702289996109903,2.07780991991361,12,adamw,True,True,True,2.374871911853552,1.642170699313283,1.9686479270458221,12,sgd,True,20260815,True,True,True
C16-d16-L2-H1-m4-ffnnone,increase,function_and_donor_gate,qk_cancellation_fraction,12,20000,-0.027101485058665276,-0.0016732459577422144,-0.05619130757016438,True,0.06293943988469738,0.017469307687133555,0.0396383727590243,12,adamw,True,False,False,0.04128622047913571,-0.015585999035586905,0.012536887700359026,12,sgd,False,20260815,True,False,False
