cell,confidence_interval_excludes_zero,confidence_interval_high,confidence_interval_low,confidence_level,confirmatory_sample_size_pass,desired_direction,direction,eligibility_rule,estimate,final_mean,initial_mean,metric,n_pairs,n_resamples,optimizer,population,rng_seed,standard_deviation,standardized_paired_effect,supports_desired_direction
C16-d16-L2-H1-m4-ffn32,False,0.006320753767946961,-0.01776400732975768,0.95,True,descriptive,negative,function_and_donor_gate,-0.005283996492532121,2.378559959955358e-05,0.005307782092131674,ffn_total_signed,12,20000,adamw,claim_eligible,20260815,0.022313112357120184,-0.2368112707883166,False
C16-d16-L2-H1-m4-ffn32,True,0.4973958333333333,0.4583333333333333,0.95,True,increase,positive,all_scheduled,0.4783528645833333,1.0,0.5216471354166666,function_accuracy,12,20000,adamw,claim_eligible,20260815,0.03591219245910854,13.320068529038164,True
C16-d16-L2-H1-m4-ffn32,True,0.5167173838022184,0.48431109978870757,0.95,True,increase,positive,function_gate,0.501179546903586,0.49387314170598984,-0.0073064051975961775,key_selectivity,12,20000,adamw,claim_eligible,20260815,0.029874589384845225,16.776114993494247,True
C16-d16-L2-H1-m4-ffn32,True,-0.12627044500962561,-0.17052926911176958,0.95,True,decrease,negative,all_scheduled,-0.1485023393664354,0.0034063966886606067,0.151908736055096,natural_swap_mae,12,20000,adamw,claim_eligible,20260815,0.04061623073942913,-3.656231429231895,True
C16-d16-L2-H1-m4-ffn32,True,-0.0394332669655815,-0.06873578307190845,0.95,True,decrease,negative,all_scheduled,-0.05393830918857626,3.637824367312229e-05,0.05397468743224939,natural_swap_mse,12,20000,adamw,claim_eligible,20260815,0.02696754820014928,-2.0001191353494154,True
C16-d16-L2-H1-m4-ffn32,False,0.13980921283364295,-0.011213674706717304,0.95,True,decrease,positive,function_and_donor_gate,0.05351780354976654,1.0071361859639485,0.9536183824141821,ov_distractor_gain,12,20000,adamw,claim_eligible,20260815,0.14049698140380865,0.3809178176999307,False
C16-d16-L2-H1-m4-ffn32,True,1.0699559769282738,0.7384053250619521,0.95,True,increase,positive,function_and_donor_gate,0.9096756824292243,0.8537848374495903,-0.05589084497963389,ov_log_target_over_distractor_gain,12,20000,adamw,claim_eligible,20260815,0.30522978379227883,2.9802978959887323,True
C16-d16-L2-H1-m4-ffn32,True,1.9054772629092134,1.44987247766306,0.95,True,increase,positive,function_and_donor_gate,1.6847671245535214,2.5897318348288536,0.9049647102753321,ov_target_gain,12,20000,adamw,claim_eligible,20260815,0.4184532539460558,4.026177616414737,True
C16-d16-L2-H1-m4-ffn32,True,0.02792901249291994,0.0033926478742311405,0.95,True,increase,positive,function_and_donor_gate,0.015830683211485546,0.23511934032042822,0.21928865710894266,qk_cancellation_fraction,12,20000,adamw,claim_eligible,20260815,0.02256979973492933,0.7014099990876642,True
C16-d16-L2-H1-m4-ffn32,True,-0.014963940235703861,-0.028541307124830696,0.95,True,descriptive,negative,function_and_donor_gate,-0.021516567209939552,1.4777040797516369e-05,0.021531344250737067,qk_content_energy,12,20000,adamw,claim_eligible,20260815,0.012540545054703306,-1.7157601297297527,False
C16-d16-L2-H1-m4-ffn32,False,0.0029762570213449557,-0.011560499294929132,0.95,True,descriptive,negative,function_and_donor_gate,-0.004194524527633803,-2.8134125197235942e-05,0.0041663904024365666,qk_content_signed,12,20000,adamw,claim_eligible,20260815,0.013571390582041222,-0.30907109350933737,False
C16-d16-L2-H1-m4-ffn32,True,0.072021484375,0.038248697916666664,0.95,True,increase,positive,function_and_donor_gate,0.054850260416666664,0.54248046875,0.4876302083333333,qk_opposition_rate,12,20000,adamw,claim_eligible,20260815,0.03161089035509416,1.7351697405709876,True
C16-d16-L2-H1-m4-ffn32,False,0.0020727894215080206,-0.00408979880525256,0.95,True,descriptive,negative,function_and_donor_gate,-0.0006694705120935396,-7.2171986478982335e-06,0.0006622533134456413,qk_route_signed,12,20000,adamw,claim_eligible,20260815,0.005780385987045964,-0.1158176138399486,False
C16-d16-L2-H1-m4-ffn32,True,-0.6040748599062985,-0.8998399881723647,0.95,True,increase,negative,function_and_donor_gate,-0.7481660163030028,-1.1119992057792842,-0.3638331894762814,qk_suppression_log_ratio,12,20000,adamw,claim_eligible,20260815,0.27289517380217004,-2.741587569611513,False
C16-d16-L2-H1-m4-ffn32,False,0.004558157041753926,-0.015187262544331283,0.95,True,descriptive,negative,function_and_donor_gate,-0.004863995395226084,-3.5351322821952635e-05,0.004828644072404131,qk_total_signed,12,20000,adamw,claim_eligible,20260815,0.018322772389586392,-0.26546175937820954,False
C16-d16-L2-H1-m4-ffn32,True,-0.6889221972985221,-1.2704528263424815,0.95,True,decrease,negative,all_scheduled,-0.9512739086797714,5.155755570740439e-05,0.9513254662354788,risk,12,20000,adamw,claim_eligible,20260815,0.5427496748641449,-1.752693650010723,True
C16-d16-L2-H1-m4-ffn32,True,1.0392910019601307,0.935234973076149,0.95,True,increase,positive,function_gate,0.9913561930394886,1.0073001980781555,0.015944005038666848,target_key_effect,12,20000,adamw,claim_eligible,20260815,0.09655473021847144,10.267298047401482,True
C16-d16-L2-H1-m4-ffn32,True,1.021551100880606,0.9319244078205278,0.95,True,increase,positive,function_gate,0.9800208912153417,0.9998697837193807,0.01984889250403891,value_flip_effect,12,20000,adamw,claim_eligible,20260815,0.08259582589534849,11.86525929841853,True
C16-d16-L2-H1-m4-ffn32,True,-0.39197911779534983,-1.4996073062876933,0.95,True,decrease,negative,function_gate,-0.8950774115227583,3.0266925402126315e-05,0.8951076784481605,walsh_bias_energy,12,20000,adamw,claim_eligible,20260815,1.0372050502222887,-0.8629705489101983,True
C16-d16-L2-H1-m4-ffn32,True,-0.025282759531812846,-0.08122925564754171,0.95,True,decrease,negative,function_gate,-0.0477631879045551,2.246893257051852e-05,0.04778565683712562,walsh_distractor_direct_energy,12,20000,adamw,claim_eligible,20260815,0.05372817266514537,-0.8889784546039498,True
C16-d16-L2-H1-m4-ffn32,True,-0.003576747372312641,-0.010962585417354375,0.95,True,decrease,negative,function_gate,-0.006852399892598744,1.661630320389425e-05,0.006869016195802639,walsh_interaction_energy,12,20000,adamw,claim_eligible,20260815,0.006899877735794744,-0.9931190312330178,True
C16-d16-L2-H1-m4-ffn32,True,1.0210820018236213,0.9332470532487303,0.95,True,increase,positive,function_gate,0.980663973139599,0.9998222043116888,0.019158231172089774,walsh_target_coefficient,12,20000,adamw,claim_eligible,20260815,0.08125908324282918,12.068361271183047,True
C16-d16-L2-H1-m4-ffn32,True,-0.8914041763266236,-1.052022517240357,0.95,True,decrease,negative,function_gate,-0.9759941482852051,3.500935334462459e-05,0.9760291576385498,walsh_target_error_energy,12,20000,adamw,claim_eligible,20260815,0.14804177241387992,-6.592694294125454,True
C16-d16-L2-H1-m4-ffn32,True,-1.4166595831139,-2.538536500821904,0.95,True,decrease,negative,function_gate,-1.9256871504170097,0.00010436151599909256,1.925791511933009,walsh_total_error_energy,12,20000,adamw,claim_eligible,20260815,1.0439610525121432,-1.8445967364233737,True
C16-d16-L2-H1-m4-ffnnone,True,-0.13895524885544244,-0.17402757854676262,0.95,True,decrease,negative,all_scheduled,-0.15714245160537152,0.04363813131931238,0.2007805829246839,attention_mean_distractor_mass,12,20000,adamw,all_scheduled,20260815,0.03217399542588096,-4.884144773606985,True
C16-d16-L2-H1-m4-ffnnone,True,0.16296831693810715,0.026310346089303493,0.95,True,descriptive,positive,all_scheduled,0.09668540333708127,0.2998848535741369,0.20319945023705563,attention_self_mass,12,20000,adamw,all_scheduled,20260815,0.12573552226641677,0.7689585376852996,False
C16-d16-L2-H1-m4-ffnnone,True,0.42067110020046433,0.3307055809690307,0.95,True,increase,positive,all_scheduled,0.3747419447172433,0.5692007634012649,0.19445881868402162,attention_target_mass,12,20000,adamw,all_scheduled,20260815,0.08351632653703882,4.48705014044228,True
