study_id,cell_id,cell_index,cell_key,seed,step,configured_steps,d_model,width,num_concepts,load,num_heads,heads,num_layers,memory_size,ffn_width,ffn,learning_rate,full_causal_gate_pass,function_base_mse,function_base_accuracy,donor_mse,donor_accuracy,value_flip_effect,natural_swap_mse,natural_swap_mae,walsh_distractor_direct_energy,walsh_interaction_energy,walsh_distractor_only_interaction_energy,walsh_target_interaction_energy,walsh_bias_energy,walsh_total_error_energy,attention_key_selectivity,attention_margin,embedding_effective_rank,normalized_rank,embedding_coherence,input_global_cosine,input_target_selectivity,output_global_cosine,output_target_selectivity
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,6,800,800,8,8,32,4,4,4,2,4,,False,0.003,False,0.01858784630894661,0.99609375,0.002240970730781555,1.0,0.9821192026138306,0.01596459560096264,0.0390964113175869,0.005769726354628801,0.006408775225281715,0.0012166434898972511,0.005192131735384464,0.002916858531534672,0.01840742863714695,0.23015576601028442,1.3723643273115158,3.641831636428833,0.4552289545536041,0.9482958316802979,0.03362177312374115,0.46269094944000244,0.14459864795207977,0.804373025894165
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,7,0,800,8,8,32,4,4,4,2,4,,False,0.003,False,1.501143217086792,0.453125,1.4935110807418823,0.46875,-0.02436424233019352,0.02141888439655304,0.1002524197101593,0.011591754853725433,0.001758789410814643,0.00108055560849607,0.0006782337441109121,0.3362106680870056,1.3997551202774048,-0.007142385467886925,-0.21589534170925617,5.767667293548584,0.720958411693573,0.8656913042068481,0.19443032145500183,0.2999116778373718,0.46196168661117554,0.15363764762878418
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,7,800,800,8,8,32,4,4,4,2,4,,False,0.003,False,0.02830168418586254,0.9921875,0.017515838146209717,0.99609375,0.986882209777832,0.013745598495006561,0.029019439592957497,0.003929696977138519,0.007117786444723606,0.0016880205366760492,0.0054297661408782005,0.002930291695520282,0.01665383204817772,0.07448084652423859,0.036604491993784904,4.290894031524658,0.5363617539405823,0.938784122467041,0.14055213332176208,0.49500054121017456,0.3308379650115967,0.289086252450943
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,8,0,800,8,8,32,4,4,4,2,4,,False,0.003,False,2.452404022216797,0.46484375,2.248931407928467,0.484375,-0.04709448665380478,0.479640930891037,0.4551239013671875,0.09841141104698181,0.038343243300914764,0.017856523394584656,0.02048671804368496,1.1242494583129883,2.4074747562408447,-0.009773427620530128,-0.3395715788938105,6.225549697875977,0.7781937122344971,0.836799144744873,0.290988028049469,0.24173225462436676,0.47425976395606995,0.1875101774930954
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,8,800,800,8,8,32,4,4,4,2,4,,False,0.003,False,0.02830664813518524,0.99609375,0.047654882073402405,0.98828125,0.9795423746109009,0.04400655999779701,0.07925659418106079,0.007687740959227085,0.007332946639508009,0.0017480216920375824,0.005584925413131714,0.0033633399289101362,0.023369919508695602,0.1729813665151596,0.9140522014349699,3.6563074588775635,0.45703843235969543,0.9503027200698853,0.2259804606437683,0.46929460763931274,0.11651065945625305,0.873597264289856
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,9,0,800,8,8,32,4,4,4,2,4,,False,0.003,False,1.1513111591339111,0.48828125,1.137834072113037,0.48828125,-0.012123707681894302,0.027776602655649185,0.10530474781990051,0.00738415215164423,0.0005063180578872561,0.0003076818829867989,0.0001986361457966268,0.11932339519262314,1.1537728309631348,-0.006573931314051151,-0.10458950675092638,5.921502590179443,0.7401878237724304,0.9152088165283203,0.17606624960899353,0.19552335143089294,0.43034398555755615,0.12100310623645782
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,9,800,800,8,8,32,4,4,4,2,4,,False,0.003,False,0.02018352784216404,0.99609375,0.0029917950741946697,1.0,0.9859243631362915,0.01697648875415325,0.027446353808045387,0.008966866880655289,0.004705653991550207,0.00024968330399133265,0.004455970600247383,0.001596340211108327,0.02070864662528038,0.16787603497505188,1.8167804284021258,2.5636043548583984,0.3204505443572998,0.9671054482460022,0.11176972091197968,0.4869832694530487,0.15249831974506378,0.8772964477539062
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,6,C32-d8-L2-H1-m4-ffn16,0,0,800,8,8,32,4,1,1,2,4,16,True,0.003,False,1.204474687576294,0.53515625,1.2672407627105713,0.5234375,0.11429191380739212,0.046720221638679504,0.140773206949234,0.09676583111286163,0.003293615533038974,0.002015268662944436,0.001278346753679216,0.2761971056461334,1.1629732847213745,-0.01921095699071884,-0.2089097797870636,6.338072776794434,0.7922590970993042,0.8963797092437744,0.12208102643489838,0.2860163748264313,0.6891970038414001,0.06284737586975098
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,6,C32-d8-L2-H1-m4-ffn16,0,800,800,8,8,32,4,1,1,2,4,16,True,0.003,True,0.00029942806577309966,1.0,0.00022151239681988955,1.0,1.0013096332550049,0.00010137080971617252,0.0052886586636304855,0.0001334621338173747,0.0002235604915767908,4.860075205215253e-05,0.00017495971405878663,0.00016169302398338914,0.0006284218979999423,0.3902781009674072,3.110837936401367,4.872373104095459,0.6090466380119324,0.8890563249588013,0.10908514261245728,0.5881249904632568,0.3418184518814087,0.6855073571205139
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,6,C32-d8-L2-H1-m4-ffn16,1,0,800,8,8,32,4,1,1,2,4,16,True,0.003,False,2.0548195838928223,0.51171875,2.0708065032958984,0.50390625,0.011256187222898006,0.02797837369143963,0.10274306684732437,0.015608783811330795,0.0037627974525094032,0.0017153860535472631,0.0020474111661314964,1.1497480869293213,2.1415653228759766,-0.010193104855716228,-0.3924453556537628,6.356571674346924,0.7945714592933655,0.8013625144958496,0.12085403501987457,0.24058730900287628,0.25747010111808777,0.03419763967394829
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,6,C32-d8-L2-H1-m4-ffn16,1,800,800,8,8,32,4,1,1,2,4,16,True,0.003,True,0.0003617991751525551,1.0,0.00043616886250674725,1.0,0.9996535778045654,0.0001019825431285426,0.004980502650141716,0.0001033998851198703,0.00014107099559623748,3.571500928956084e-05,0.00010535598266869783,0.00024019874399527907,0.0006428473861888051,0.4365946054458618,3.1329781115055084,4.813764572143555,0.6017205715179443,0.8776530027389526,0.22852987051010132,0.2960081696510315,0.17945179343223572,0.8093881607055664
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,6,C32-d8-L2-H1-m4-ffn16,2,0,800,8,8,32,4,1,1,2,4,16,True,0.003,False,5.839909553527832,0.4375,5.78685188293457,0.4296875,-0.010815109126269817,0.7070137858390808,0.4452062249183655,0.20996958017349243,0.13356898725032806,0.07379224896430969,0.059776730835437775,4.102207183837891,5.502702236175537,0.0039281090721488,-0.06713740527629852,6.8294243812561035,0.8536780476570129,0.9327343702316284,0.2076881229877472,0.3270661532878876,0.5115575790405273,0.16095812618732452
scaling-tuned-adamw-10seeds-v1,cell-006-f100eb25da99,6,C32-d8-L2-H1-m4-ffn16,2,800,800,8,8,32,4,1,1,2,4,16,True,0.003,False,0.009553583338856697,0.99609375,0.00907911267131567,0.99609375,0.987134575843811,0.010057998821139336,0.026164133101701736,0.000990779371932149,0.0012700144434347749,0.00019274873193353415,0.0010772657115012407,0.0012571464758366346,0.0050667161121964455,0.35995644330978394,2.581299304962158,5.281167030334473,0.6601458787918091,0.9538245797157288,0.16851556301116943,0.49707120656967163,0.2217508852481842,0.7719060182571411
