width,load,step,site,site_order,n_seeds,architectures_per_seed,sampling_unit,global_cosine_mean,global_cosine_standard_deviation,global_cosine_ci_lower,global_cosine_ci_upper,target_selectivity_mean,target_selectivity_standard_deviation,target_selectivity_ci_lower,target_selectivity_ci_upper,participation_rank_normalized_mean,participation_rank_normalized_standard_deviation,participation_rank_normalized_ci_lower,participation_rank_normalized_ci_upper
32,1,0,l1.post_attention_residual,3,10,4,training_seed,0.6625102460384369,0.04918202718068208,0.6327952418848872,0.6903889077529312,0.07625426147133112,0.012724461012313414,0.06843624872155488,0.0834895528620109,0.07983136530965566,0.0033828913395318513,0.0777880596090108,0.08175257876049727
32,1,0,l1.post_ffn_residual,4,10,4,training_seed,0.6736134931445121,0.04175917192828924,0.6492240955680609,0.6980528987571597,0.07277926448732615,0.013796661256174436,0.06418130937963724,0.08042731303721666,0.07943854220211506,0.0028787629083639227,0.07769951049704105,0.08105126848444343
32,1,800,input_embeddings,0,10,4,training_seed,0.13646871773526073,0.024554921637783892,0.1218498140014708,0.15053315577097234,0.4328849300742149,0.025722866032975127,0.41893688337877394,0.44898686701431867,0.09107385985553265,0.002523832829070993,0.08952749220654369,0.09248261312488466
32,1,800,l0.post_attention_residual,1,10,4,training_seed,0.2013629350811243,0.05047467410074367,0.17575307467021048,0.2343160733906551,0.7514625243842602,0.07620698947103276,0.7076317661069333,0.795669686421752,0.050383972190320495,0.0038821012041840293,0.04819582073250785,0.05270440736785531
32,1,800,l0.post_ffn_residual,2,10,4,training_seed,0.23942930363118647,0.044090904894024494,0.21980597448069603,0.2691013779398054,0.73257642313838,0.06238874823906112,0.69629599660635,0.768404341544956,0.047277645021677014,0.004250143110873495,0.04489872496575117,0.04983147375285625
32,1,800,l1.post_attention_residual,3,10,4,training_seed,0.2397134030237794,0.045726313181509125,0.21556523197796196,0.26893520664423703,0.806556697934866,0.06344111601771285,0.7660910360515117,0.8396341891214251,0.04061157507821918,0.0015622511174673104,0.03970992814749479,0.041515745895449076
32,1,800,l1.post_ffn_residual,4,10,4,training_seed,0.2603214388713241,0.05638369608103005,0.23079887665342538,0.29664631531573826,0.7921054266393185,0.0707088734911108,0.7468325357697905,0.8290506015904248,0.039805509336292746,0.0014033079565559067,0.03897880602627993,0.04060508338036015
32,4,0,input_embeddings,0,10,4,training_seed,0.1895211298018694,0.02370651247758405,0.1768807499203831,0.2043732690438628,0.27815046459436416,0.0185479102629565,0.26786071624606844,0.28965038556605577,0.09480987973511219,0.0029231929995924425,0.09307880980893969,0.09649562388658524
32,4,0,l0.post_attention_residual,1,10,4,training_seed,0.5245907098054886,0.0621322464287345,0.48634236045181756,0.5587748616375029,0.12902626395225525,0.019056580998004162,0.1186418927460909,0.14082648791372776,0.0821318594738841,0.0026043169345854236,0.08051058909855782,0.08357926830183715
32,4,0,l0.post_ffn_residual,2,10,4,training_seed,0.5352071806788444,0.06457602741936215,0.4952143966220319,0.570143611934036,0.12239888459444045,0.019537726095256596,0.11185031399596483,0.13463111399207262,0.08303755056113005,0.002117285788167882,0.08174626263789833,0.08425566956866533
