study_id,cell_id,cell_index,cell_key,seed,step,configured_steps,d_model,width,num_concepts,load,num_heads,heads,num_layers,memory_size,ffn_width,ffn,learning_rate,embedding_effective_rank,normalized_rank,embedding_coherence,function_base_accuracy,function_risk,donor_accuracy,value_flip_effect,natural_swap_mse,full_causal_gate_pass
scaling-tuned-adamw-10seeds-v1,cell-002-4a3528c0206e,2,C32-d8-L2-H1-m4-ffnnone,3,800,800,8,8,32,4,1,1,2,4,,False,0.003,4.31769323348999,0.5397116541862488,0.8770372867584229,1.0,0.00028379299328662455,1.0,0.997748613357544,0.00039241573540493846,True
scaling-tuned-adamw-10seeds-v1,cell-002-4a3528c0206e,2,C32-d8-L2-H1-m4-ffnnone,4,800,800,8,8,32,4,1,1,2,4,,False,0.003,4.520267009735107,0.5650333762168884,0.9528117179870605,1.0,5.73962606722489e-05,1.0,1.0000529289245605,4.302130764699541e-05,True
scaling-tuned-adamw-10seeds-v1,cell-002-4a3528c0206e,2,C32-d8-L2-H1-m4-ffnnone,5,800,800,8,8,32,4,1,1,2,4,,False,0.003,4.745753765106201,0.5932192206382751,0.946452260017395,1.0,0.00035373546415939927,1.0,0.9999693036079407,0.00031528895488008857,True
scaling-tuned-adamw-10seeds-v1,cell-002-4a3528c0206e,2,C32-d8-L2-H1-m4-ffnnone,6,800,800,8,8,32,4,1,1,2,4,,False,0.003,4.130066871643066,0.5162583589553833,0.933911919593811,1.0,0.00030844498542137444,1.0,0.9998205304145813,0.00023962309933267534,True
scaling-tuned-adamw-10seeds-v1,cell-002-4a3528c0206e,2,C32-d8-L2-H1-m4-ffnnone,7,800,800,8,8,32,4,1,1,2,4,,False,0.003,4.780250072479248,0.597531259059906,0.9121212363243103,1.0,0.002141736214980483,1.0,0.9970598816871643,0.0006378174293786287,True
scaling-tuned-adamw-10seeds-v1,cell-002-4a3528c0206e,2,C32-d8-L2-H1-m4-ffnnone,8,800,800,8,8,32,4,1,1,2,4,,False,0.003,4.62702751159668,0.578378438949585,0.9459869861602783,1.0,0.00038912490708753467,1.0,1.0000221729278564,0.00034887687070295215,True
scaling-tuned-adamw-10seeds-v1,cell-002-4a3528c0206e,2,C32-d8-L2-H1-m4-ffnnone,9,800,800,8,8,32,4,1,1,2,4,,False,0.003,3.842745542526245,0.48034319281578064,0.9375118017196655,1.0,0.0003473945544101298,1.0,0.9986388683319092,0.0004396777367219329,True
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,0,800,800,8,8,32,4,4,4,2,4,,False,0.003,3.7892069816589355,0.47365087270736694,0.9366365671157837,0.99609375,0.005850625690072775,0.99609375,0.9882257580757141,0.016156721860170364,False
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,1,800,800,8,8,32,4,4,4,2,4,,False,0.003,3.654447317123413,0.45680591464042664,0.9368257522583008,0.9921875,0.018706699833273888,0.9921875,0.9734789133071899,0.009163804352283478,False
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,800,800,8,8,32,4,4,4,2,4,,False,0.003,4.00096321105957,0.5001204013824463,0.9380916357040405,0.9921875,0.010790719650685787,0.99609375,0.9786614775657654,0.02482328750193119,False
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,800,800,8,8,32,4,4,4,2,4,,False,0.003,4.10552978515625,0.5131912231445312,0.9842413663864136,0.99609375,0.01137059647589922,0.984375,0.9751183986663818,0.019181985408067703,False
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,800,800,8,8,32,4,4,4,2,4,,False,0.003,4.2578229904174805,0.5322278738021851,0.9533073902130127,0.9921875,0.012725806795060635,1.0,0.9936122298240662,0.019889328628778458,False
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,5,800,800,8,8,32,4,4,4,2,4,,False,0.003,4.76654052734375,0.5958175659179688,0.9291408061981201,0.9765625,0.03319760039448738,0.98828125,0.9601536989212036,0.05562232807278633,False
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,6,800,800,8,8,32,4,4,4,2,4,,False,0.003,3.641831636428833,0.4552289545536041,0.9482958316802979,0.99609375,0.009293923154473305,1.0,0.9821192026138306,0.01596459560096264,False
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,7,800,800,8,8,32,4,4,4,2,4,,False,0.003,4.290894031524658,0.5363617539405823,0.938784122467041,0.9921875,0.01415084209293127,0.99609375,0.986882209777832,0.013745598495006561,False
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,8,800,800,8,8,32,4,4,4,2,4,,False,0.003,3.6563074588775635,0.45703843235969543,0.9503027200698853,0.99609375,0.01415332406759262,0.98828125,0.9795423746109009,0.04400655999779701,False
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,9,800,800,8,8,32,4,4,4,2,4,,False,0.003,2.5636043548583984,0.3204505443572998,0.9671054482460022,0.99609375,0.01009176392108202,1.0,0.9859243631362915,0.01697648875415325,False
scaling-tuned-adamw-10seeds-v1,cell-004-173da0011095,4,C8-d8-L2-H1-m4-ffn16,0,800,800,8,8,8,1,1,1,2,4,16,True,0.003,3.506941556930542,0.43836769461631775,0.7492567300796509,1.0,0.00019986755796708167,1.0,1.0021181106567383,0.0004710849607363343,True
scaling-tuned-adamw-10seeds-v1,cell-004-173da0011095,4,C8-d8-L2-H1-m4-ffn16,1,800,800,8,8,8,1,1,1,2,4,16,True,0.003,3.7920713424682617,0.4740089178085327,0.8883421421051025,1.0,0.00011881489626830444,1.0,1.0001122951507568,0.0001698460546322167,True
scaling-tuned-adamw-10seeds-v1,cell-004-173da0011095,4,C8-d8-L2-H1-m4-ffn16,2,800,800,8,8,8,1,1,1,2,4,16,True,0.003,4.087615489959717,0.5109519362449646,0.8223271369934082,1.0,0.0004432450223248452,1.0,1.0030573606491089,0.0010910212295129895,True
scaling-tuned-adamw-10seeds-v1,cell-004-173da0011095,4,C8-d8-L2-H1-m4-ffn16,3,800,800,8,8,8,1,1,1,2,4,16,True,0.003,3.46272349357605,0.4328404366970062,0.69361412525177,1.0,0.0001758611178956926,1.0,0.9983696937561035,0.00016504264203831553,True
scaling-tuned-adamw-10seeds-v1,cell-004-173da0011095,4,C8-d8-L2-H1-m4-ffn16,4,800,800,8,8,8,1,1,1,2,4,16,True,0.003,3.0646674633026123,0.38308343291282654,0.8536480665206909,1.0,8.821102528600022e-05,1.0,0.9989144802093506,0.00010500285134185106,True
scaling-tuned-adamw-10seeds-v1,cell-004-173da0011095,4,C8-d8-L2-H1-m4-ffn16,5,800,800,8,8,8,1,1,1,2,4,16,True,0.003,3.4697515964508057,0.4337189495563507,0.7204505801200867,1.0,0.00011266910587437451,1.0,0.9994059205055237,0.0001225841697305441,True
scaling-tuned-adamw-10seeds-v1,cell-004-173da0011095,4,C8-d8-L2-H1-m4-ffn16,6,800,800,8,8,8,1,1,1,2,4,16,True,0.003,3.810288429260254,0.47628605365753174,0.8330938816070557,1.0,7.32851040083915e-05,1.0,0.9994077682495117,7.528933929279447e-05,True
