cell_index,cell_key,seed,from_step,to_step,from_loss,to_loss,delta_loss,from_risk,to_risk,delta_risk,from_accuracy,to_accuracy,delta_accuracy,from_value_flip_effect,to_value_flip_effect,delta_value_flip_effect,from_normalized_rank,to_normalized_rank,delta_normalized_rank
6,C32-d8-L2-H1-m4-ffn16,2,400,800,0.17462775111198425,0.00713750347495079,-0.16749024763703346,0.08731387555599213,0.003568751737475395,-0.08374512381851673,0.949951171875,0.9984130859375,0.0484619140625,0.8319706916809082,0.9893088936805725,0.1573382019996643,0.681377649307251,0.6601458787918091,-0.021231770515441895
6,C32-d8-L2-H1-m4-ffn16,3,400,800,0.0016083887312561274,0.00045861612306907773,-0.0011497726081870496,0.0008041943656280637,0.00022930806153453887,-0.0005748863040935248,0.999755859375,0.9998779296875,0.0001220703125,0.998691201210022,1.0012160539627075,0.002524852752685547,0.5900901556015015,0.5820344090461731,-0.00805574655532837
6,C32-d8-L2-H1-m4-ffn16,4,400,800,0.014008641242980957,0.0017057062359526753,-0.012302935007028282,0.0070043206214904785,0.0008528531179763377,-0.006151467503514141,0.997314453125,0.9996337890625,0.0023193359375,0.9965869188308716,0.9995273947715759,0.0029404759407043457,0.6738607287406921,0.6662063598632812,-0.007654368877410889
6,C32-d8-L2-H1-m4-ffn16,5,400,800,0.013792401179671288,0.001199807389639318,-0.01259259379003197,0.006896200589835644,0.000599903694819659,-0.006296296895015985,0.9959716796875,0.9998779296875,0.00390625,0.9961206316947937,0.9981081485748291,0.0019875168800354004,0.5451891422271729,0.5412341952323914,-0.003954946994781494
6,C32-d8-L2-H1-m4-ffn16,6,400,800,0.0013330946676433086,0.00014975309022702277,-0.0011833415774162859,0.0006665473338216543,7.487654511351138e-05,-0.0005916707887081429,1.0,1.0,0.0,1.0013775825500488,0.9992632865905762,-0.0021142959594726562,0.6990029811859131,0.6950783729553223,-0.00392460823059082
6,C32-d8-L2-H1-m4-ffn16,7,400,800,0.0019015837460756302,0.0003376058302819729,-0.0015639779157936573,0.0009507918730378151,0.00016880291514098644,-0.0007819889578968287,0.9998779296875,1.0,0.0001220703125,1.0000616312026978,0.9993079900741577,-0.0007536411285400391,0.6527848839759827,0.6473365426063538,-0.005448341369628906
6,C32-d8-L2-H1-m4-ffn16,8,400,800,0.0025005177594721317,0.00018996155995409936,-0.0023105561995180324,0.0012502588797360659,9.498077997704968e-05,-0.0011552780997590162,0.999267578125,1.0,0.000732421875,0.9981076121330261,0.9987325072288513,0.0006248950958251953,0.6183705925941467,0.6190032362937927,0.0006326436996459961
6,C32-d8-L2-H1-m4-ffn16,9,400,800,0.020811758935451508,0.0011456941720098257,-0.019666064763441682,0.010405879467725754,0.0005728470860049129,-0.009833032381720841,0.9962158203125,0.9998779296875,0.003662109375,0.9860200881958008,1.0007342100143433,0.01471412181854248,0.5408358573913574,0.5091418623924255,-0.031693994998931885
7,C32-d8-L2-H4-m4-ffn16,0,400,800,0.028263773769140244,0.009432265534996986,-0.018831508234143257,0.014131886884570122,0.004716132767498493,-0.009415754117071629,0.990966796875,0.9970703125,0.006103515625,0.9683894515037537,0.9919058680534363,0.023516416549682617,0.501251757144928,0.47645899653434753,-0.024792760610580444
7,C32-d8-L2-H4-m4-ffn16,1,400,800,0.04845206066966057,0.007188405841588974,-0.041263654828071594,0.024226030334830284,0.003594202920794487,-0.020631827414035797,0.9852294921875,0.998046875,0.0128173828125,0.947587251663208,0.9931455850601196,0.04555833339691162,0.4828994870185852,0.41912204027175903,-0.06377744674682617
7,C32-d8-L2-H4-m4-ffn16,2,400,800,0.3166429102420807,0.058608055114746094,-0.2580348551273346,0.15832145512104034,0.029304027557373047,-0.1290174275636673,0.8994140625,0.9822998046875,0.0828857421875,0.6944917440414429,0.9500070810317993,0.25551533699035645,0.6586504578590393,0.6170739531517029,-0.041576504707336426
7,C32-d8-L2-H4-m4-ffn16,3,400,800,0.03328908979892731,0.009860305115580559,-0.02342878468334675,0.016644544899463654,0.004930152557790279,-0.011714392341673374,0.98974609375,0.997314453125,0.007568359375,0.9733360409736633,0.9925273656845093,0.019191324710845947,0.5170634388923645,0.47785910964012146,-0.03920432925224304
7,C32-d8-L2-H4-m4-ffn16,4,400,800,0.12266211211681366,0.017371878027915955,-0.1052902340888977,0.06133105605840683,0.008685939013957977,-0.05264511704444885,0.959716796875,0.99560546875,0.035888671875,0.8894203901290894,0.9805496335029602,0.09112924337387085,0.5914674997329712,0.5464646816253662,-0.04500281810760498
7,C32-d8-L2-H4-m4-ffn16,5,400,800,0.13388553261756897,0.03558877855539322,-0.09829675406217575,0.06694276630878448,0.01779438927769661,-0.049148377031087875,0.958251953125,0.9896240234375,0.0313720703125,0.8581704497337341,0.9525158405303955,0.09434539079666138,0.559651255607605,0.542908787727356,-0.016742467880249023
7,C32-d8-L2-H4-m4-ffn16,6,400,800,0.05806942284107208,0.011380418203771114,-0.04668900463730097,0.02903471142053604,0.005690209101885557,-0.023344502318650484,0.9815673828125,0.996826171875,0.0152587890625,0.944169282913208,0.9898524284362793,0.04568314552307129,0.5998204946517944,0.5762046575546265,-0.02361583709716797
7,C32-d8-L2-H4-m4-ffn16,7,400,800,0.03583814203739166,0.007030031643807888,-0.028808110393583775,0.01791907101869583,0.003515015821903944,-0.014404055196791887,0.990478515625,0.9981689453125,0.0076904296875,0.9663811922073364,0.995058000087738,0.02867680788040161,0.6359980702400208,0.6206845641136169,-0.015313506126403809
7,C32-d8-L2-H4-m4-ffn16,8,400,800,0.023625191301107407,0.010181495919823647,-0.01344369538128376,0.011812595650553703,0.005090747959911823,-0.00672184769064188,0.9927978515625,0.996826171875,0.0040283203125,0.977353572845459,0.9853150844573975,0.007961511611938477,0.6138660311698914,0.6058099865913391,-0.008056044578552246
7,C32-d8-L2-H4-m4-ffn16,9,400,800,0.1656089723110199,0.04725915193557739,-0.1183498203754425,0.08280448615550995,0.023629575967788696,-0.05917491018772125,0.9534912109375,0.986328125,0.0328369140625,0.8419908285140991,0.9531909227371216,0.11120009422302246,0.5832732319831848,0.5443006753921509,-0.038972556591033936
11,C128-d32-L2-H4-m4-ffnnone,0,400,800,0.005399875342845917,0.009234780445694923,0.0038349051028490067,0.0026999376714229584,0.004617390222847462,0.0019174525514245033,0.998779296875,0.9974365234375,-0.0013427734375,0.9850462675094604,0.9880272150039673,0.002980947494506836,0.5032981038093567,0.47445008158683777,-0.02884802222251892
11,C128-d32-L2-H4-m4-ffnnone,1,400,800,0.008320260792970657,0.00038529542507603765,-0.00793496536789462,0.004160130396485329,0.00019264771253801882,-0.00396748268394731,0.99755859375,1.0,0.00244140625,0.9985065460205078,1.002551555633545,0.004045009613037109,0.5015942454338074,0.4834735095500946,-0.01812073588371277
11,C128-d32-L2-H4-m4-ffnnone,2,400,800,0.0012003511656075716,0.002772881416603923,0.0015725302509963512,0.0006001755828037858,0.0013864407083019614,0.0007862651254981756,0.9998779296875,0.999267578125,-0.0006103515625,0.9938976168632507,0.9949414134025574,0.0010437965393066406,0.4872213900089264,0.45850369334220886,-0.02871769666671753
11,C128-d32-L2-H4-m4-ffnnone,3,400,800,0.003300922689959407,0.0003735423379112035,-0.0029273803520482033,0.0016504613449797034,0.00018677116895560175,-0.0014636901760241017,0.999267578125,1.0,0.000732421875,1.0017352104187012,1.0017156600952148,-1.9550323486328125e-05,0.4844917356967926,0.4615771174430847,-0.022914618253707886
11,C128-d32-L2-H4-m4-ffnnone,4,400,800,0.0038768043741583824,0.0010626977309584618,-0.0028141066431999207,0.0019384021870791912,0.0005313488654792309,-0.0014070533215999603,0.9989013671875,0.999755859375,0.0008544921875,0.9967219829559326,0.9998375773429871,0.0031155943870544434,0.5357621312141418,0.5100755095481873,-0.02568662166595459
11,C128-d32-L2-H4-m4-ffnnone,5,400,800,0.0015906444750726223,0.005916415248066187,0.004325770772993565,0.0007953222375363111,0.0029582076240330935,0.0021628853864967823,1.0,0.9981689453125,-0.0018310546875,1.0072884559631348,0.9972881078720093,-0.010000348091125488,0.5138475298881531,0.4665098786354065,-0.04733765125274658
11,C128-d32-L2-H4-m4-ffnnone,6,400,800,0.004284469876438379,0.0005235296557657421,-0.0037609402206726372,0.0021422349382191896,0.00026176482788287103,-0.0018804701103363186,0.998779296875,0.9998779296875,0.0010986328125,0.9945807456970215,0.999601423740387,0.0050206780433654785,0.5565281510353088,0.5491963028907776,-0.00733184814453125
11,C128-d32-L2-H4-m4-ffnnone,7,400,800,0.0025655925273895264,0.00038281112210825086,-0.0021827814052812755,0.0012827962636947632,0.00019140556105412543,-0.0010913907026406378,0.99951171875,1.0,0.00048828125,0.9955649375915527,0.9988263845443726,0.0032614469528198242,0.48532065749168396,0.4682804346084595,-0.017040222883224487
11,C128-d32-L2-H4-m4-ffnnone,8,400,800,0.0006481005111709237,0.0001428117393516004,-0.0005052887718193233,0.00032405025558546185,7.14058696758002e-05,-0.00025264438590966165,1.0,1.0,0.0,0.9983919858932495,0.999505341053009,0.0011133551597595215,0.5778501629829407,0.5717265605926514,-0.006123602390289307
11,C128-d32-L2-H4-m4-ffnnone,9,400,800,0.0033555496484041214,0.0015482385642826557,-0.0018073110841214657,0.0016777748242020607,0.0007741192821413279,-0.0009036555420607328,0.999267578125,0.999755859375,0.00048828125,1.0017169713974,0.9967622756958008,-0.004954695701599121,0.48831403255462646,0.46182388067245483,-0.02649015188217163
