study_id,cell_id,cell_index,cell_key,seed,step,configured_steps,d_model,width,num_concepts,load,num_heads,heads,num_layers,memory_size,ffn_width,ffn,learning_rate,site,site_order,global_cosine,query_target_cosine,query_distractor_cosine,target_selectivity,participation_rank_normalized
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,800,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_attention_residual,3,0.12149583548307419,0.883807897567749,0.027454819530248642,0.8563530445098877,0.13523146510124207
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,2,800,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_ffn_residual,4,0.12149583548307419,0.883807897567749,0.027454819530248642,0.8563530445098877,0.13523146510124207
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,0,800,8,8,32,4,4,4,2,4,,False,0.003,input_embeddings,0,0.3723684847354889,0.39140981435775757,0.17500042915344238,0.2164093554019928,0.3037962317466736
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,0,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_attention_residual,1,0.5000993609428406,0.4766053557395935,0.30374762415885925,0.17285773158073425,0.2935609817504883
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,0,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_ffn_residual,2,0.5000993609428406,0.4766053557395935,0.30374762415885925,0.17285773158073425,0.2935609817504883
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,0,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_attention_residual,3,0.43428143858909607,0.44747665524482727,0.27976691722869873,0.16770976781845093,0.28705456852912903
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,0,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_ffn_residual,4,0.43428143858909607,0.44747665524482727,0.27976691722869873,0.16770976781845093,0.28705456852912903
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,800,800,8,8,32,4,4,4,2,4,,False,0.003,input_embeddings,0,0.15784215927124023,0.3941879868507385,-0.050384730100631714,0.44457271695137024,0.3022006154060364
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,800,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_attention_residual,1,0.14254823327064514,0.4436805546283722,0.026325510814785957,0.4173550605773926,0.24990081787109375
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,800,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_ffn_residual,2,0.14254823327064514,0.4436805546283722,0.026325510814785957,0.4173550605773926,0.24990081787109375
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,800,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_attention_residual,3,0.16927486658096313,0.8215798139572144,0.06322048604488373,0.7583593130111694,0.1412317454814911
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,3,800,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_ffn_residual,4,0.16927486658096313,0.8215798139572144,0.06322048604488373,0.7583593130111694,0.1412317454814911
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,0,800,8,8,32,4,4,4,2,4,,False,0.003,input_embeddings,0,0.1851431131362915,0.5055886507034302,0.16110794246196747,0.3444807231426239,0.2898685932159424
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,0,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_attention_residual,1,0.41528624296188354,0.6324359178543091,0.39559823274612427,0.23683765530586243,0.2847665250301361
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,0,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_ffn_residual,2,0.41528624296188354,0.6324359178543091,0.39559823274612427,0.23683765530586243,0.2847665250301361
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,0,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_attention_residual,3,0.3327542245388031,0.6130213737487793,0.3258401155471802,0.2871813178062439,0.2900424599647522
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,0,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_ffn_residual,4,0.3327542245388031,0.6130213737487793,0.3258401155471802,0.2871813178062439,0.2900424599647522
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,800,800,8,8,32,4,4,4,2,4,,False,0.003,input_embeddings,0,0.04989176616072655,0.5338679552078247,-0.00076343584805727,0.5346313714981079,0.30270692706108093
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,800,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_attention_residual,1,0.09733301401138306,0.5604971051216125,0.05584508180618286,0.5046520233154297,0.22969195246696472
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,800,800,8,8,32,4,4,4,2,4,,False,0.003,l0.post_ffn_residual,2,0.09733301401138306,0.5604971051216125,0.05584508180618286,0.5046520233154297,0.22969195246696472
scaling-tuned-adamw-10seeds-v1,cell-003-3e79f448723e,3,C32-d8-L2-H4-m4-ffnnone,4,800,800,8,8,32,4,4,4,2,4,,False,0.003,l1.post_attention_residual,3,0.15646147727966309,0.944308876991272,0.1036866158246994,0.8406222462654114,0.1454063057899475
