revision,revision_index,template_id,template_index,slot,target_effect_when_queried,distractor_effect_when_not_queried,slot_contrast,target_effect_q10,target_effect_q90,distractor_effect_q10,distractor_effect_q90,n_target_episodes,n_distractor_episodes,independent_pretraining_trajectories
step1000,3,prose_facts,2,0,0.011725371958988226,0.0023293962236683725,0.009395975735319853,-0.09388363919084099,0.12349579552967652,-0.10553117877867921,0.11761463906887386,80,176,1
step1000,3,prose_facts,2,1,0.00888954934232052,0.0011471821444093157,0.007742367197911203,-0.07590909642379451,0.09122862690039485,-0.08917797020240553,0.08894130493565411,80,176,1
step1000,3,prose_facts,2,2,0.026720396185952938,-0.0006896361875459477,0.027410032373498885,-0.040208062594318535,0.09614144242704344,-0.06973821000307207,0.06635011156033219,32,224,1
step1000,3,prose_facts,2,3,0.02227629937339492,0.001780022305692923,0.020496277067701997,-0.06217378924276188,0.11839959211348573,-0.12725777547982178,0.13759632420590598,64,192,1
step1000,3,bracket_dictionary,3,0,0.12672999990605344,-0.01911053018638349,0.14584053009243692,0.011504065358118216,0.28669001812706196,-0.11270990213005762,0.07506711453231954,64,192,1
step1000,3,bracket_dictionary,3,1,0.15728005604543532,-0.026414377865309712,0.18369443391074503,0.08693972116952067,0.2397440313661158,-0.147698935361417,0.10224791994365041,16,240,1
step1000,3,bracket_dictionary,3,2,0.24924361340920895,-0.020803042560297882,0.27004665596950683,0.035588409176412955,0.4314478753928644,-0.1701291055399175,0.12368253498089579,48,208,1
step1000,3,bracket_dictionary,3,3,0.07895886244233245,-0.045987419402850525,0.12494628184518297,-0.08739880089102318,0.20612306655747975,-0.1664785350875748,0.08347412230497739,128,128,1
step4000,4,compact_cards,0,0,0.059234570387846255,2.8721967717545477e-07,0.05923428316816908,-0.0066107546016398785,0.15486631604006698,-0.12643762398358602,0.11804344958000623,80,176,1
step4000,4,compact_cards,0,1,0.035797603559900686,0.003752151570787593,0.03204545198911309,-0.04428288366094054,0.15467025314191843,-0.10246936145451496,0.11025205829202549,48,208,1
step4000,4,compact_cards,0,2,0.04382912180624953,0.0031655793372676465,0.040663542468981885,-0.0543293136066606,0.1739195206743006,-0.11996223323730619,0.1301810196275191,64,192,1
step4000,4,compact_cards,0,3,0.03215901950499662,0.004688770508854752,0.027470248996141866,-0.08253134558343891,0.1749189557715983,-0.13475406231100653,0.13872576981178614,64,192,1
step4000,4,line_records,1,0,0.03523365377934715,0.0015559423649953857,0.03367771141435177,-0.02601244561165887,0.09414295245970916,-0.14234489193869987,0.14295199103006767,80,176,1
step4000,4,line_records,1,1,0.037033800920387994,-1.1414240380778895e-05,0.03704521516076877,0.010577335559866586,0.08844108596975671,-0.06814981433678009,0.07524157455663387,64,192,1
step4000,4,line_records,1,2,0.03248554487767226,-0.0020470920452947176,0.03453263692296698,0.0010226185865453766,0.0681266553694993,-0.06340827206248897,0.055167786527016364,64,192,1
