revision,revision_index,template_id,template_index,layer,closure_max_abs,closure_relative_sensitivity_max,component_scale_max_abs,n_episode_rows,independent_pretraining_trajectories,delta_h_norm_mean,delta_attention_norm_mean,delta_ffn_norm_mean,delta_post_norm_mean,delta_skip_attention_norm_mean
step64,1,prose_facts,2,2,4.440892098500626e-16,4.8909531551810836e-15,0.16597623539202644,256,1,0.3783587487272509,0.21088164764945366,0.23939945592763878,0.4966804375749313,0.4347943365150111
step64,1,prose_facts,2,3,6.106226635438361e-16,5.58246607115534e-15,0.17562316862694466,256,1,0.4966804375749313,0.1481503015866052,0.21920941811676267,0.5668992248095672,0.5214075006338048
step64,1,prose_facts,2,4,6.106226635438361e-16,6.957633842348367e-15,0.16964642448637307,256,1,0.5668992248095672,0.12044166058779565,0.17691087352531415,0.610254147137347,0.5800603009614189
step64,1,prose_facts,2,5,6.661338147750939e-16,6.2390471099166056e-15,0.17050746642253334,256,1,0.610254147137347,0.09730209188095298,0.14031010844666908,0.642649441998894,0.6179255625068923
step64,1,bracket_dictionary,3,0,1.6132928326584306e-16,4.619374363023492e-15,0.06342318186229112,256,1,0.0,0.31226089531591494,0.0,0.31226089531591494,0.31226089531591494
step64,1,bracket_dictionary,3,1,3.3306690738754696e-16,3.1219019753764718e-15,0.16688354817607393,256,1,0.31226089531591494,0.36919175300277945,0.3078697846522813,0.5816199640091179,0.48774421778382915
step64,1,bracket_dictionary,3,2,6.106226635438361e-16,4.550599693101899e-15,0.24392644381744527,256,1,0.5816199640091179,0.34227387217127103,0.3679119539293228,0.7882551151732087,0.6821024141610554
step64,1,bracket_dictionary,3,3,6.106226635438361e-16,4.067408168798443e-15,0.3386691932182069,256,1,0.7882551151732087,0.27599389809962965,0.33417538545467707,0.9212266807612044,0.8410925973689676
step64,1,bracket_dictionary,3,4,6.106226635438361e-16,4.0793680360009535e-15,0.33054833743228806,256,1,0.9212266807612044,0.22355607724969637,0.28259264925630534,1.020917178860168,0.9551878088951206
step64,1,bracket_dictionary,3,5,6.661338147750939e-16,4.161760514615335e-15,0.3569703367844506,256,1,1.020917178860168,0.18174589501506228,0.2401187713957239,1.086724376337441,1.0401715510974228
step512,2,compact_cards,0,0,1.3530843112619095e-16,4.900409062449678e-15,0.057638013217795755,256,1,0.0,0.27761157492834876,0.0,0.27761157492834876,0.27761157492834876
step512,2,compact_cards,0,1,3.0531133177191805e-16,2.504927367387285e-15,0.2211783882216628,256,1,0.27761157492834876,0.5912139418150812,0.22696981981810338,0.7001149458899869,0.6611316097107135
step512,2,compact_cards,0,2,3.0531133177191805e-16,2.032534817024543e-15,0.3731714294487677,256,1,0.7001149458899869,0.5224702055477477,0.41850377788103654,0.9629668016732975,0.8798668290947147
step512,2,compact_cards,0,3,3.0531133177191805e-16,1.7723287036208315e-15,0.4752810364989142,256,1,0.9629668016732975,0.5525707855743685,0.5923085687543586,1.2713216247539139,1.1236078656343693
step512,2,compact_cards,0,4,3.3306690738754696e-16,1.3374062955309827e-15,0.6143011308643931,256,1,1.2713216247539139,0.669412890003179,0.7787559469798482,1.644424106477739,1.4289215022556665
step512,2,compact_cards,0,5,3.885780586188048e-16,1.2184755330656338e-15,0.6938250178659653,256,1,1.644424106477739,0.6789995577851089,0.8889161846416324,2.1015278407509017,1.809935479997129
step512,2,line_records,1,0,1.5265566588595902e-16,5.8713638316234364e-15,0.059264732212653465,256,1,0.0,0.24656996513433133,0.0,0.24656996513433133,0.24656996513433133
step512,2,line_records,1,1,3.3306690738754696e-16,3.788708080920477e-15,0.24720844108411805,256,1,0.24656996513433133,0.4929831246340433,0.20673852116228691,0.5857687829117967,0.5545769653398982
step512,2,line_records,1,2,3.3306690738754696e-16,2.4012730867759025e-15,0.417238670773262,256,1,0.5857687829117967,0.5343270654887385,0.36597463788095663,0.8815915378707528,0.8067261052934773
step512,2,line_records,1,3,3.191891195797325e-16,1.8105490071087313e-15,0.5046384496076188,256,1,0.8815915378707528,0.4685863720694574,0.5436424274348672,1.111458360074626,0.9874010169980718
step512,2,line_records,1,4,3.885780586188048e-16,1.7996559015224007e-15,0.6378363633309656,256,1,1.111458360074626,0.5563999978190703,0.6502088797488529,1.428020747450423,1.2487443709321537
step512,2,line_records,1,5,6.036837696399289e-16,1.877789513824827e-15,0.8177345545541341,256,1,1.428020747450423,0.5837779579042979,0.7990061264720228,1.8365408283355587,1.5746572149448952
step512,2,prose_facts,2,0,1.3877787807814457e-16,6.09494349072037e-15,0.03570541616588939,256,1,0.0,0.20349275480476275,0.0,0.20349275480476275,0.20349275480476275
step512,2,prose_facts,2,1,3.0531133177191805e-16,3.534829236810238e-15,0.2347010884135261,256,1,0.20349275480476275,0.45567923395397536,0.1735828266215421,0.5369479638017026,0.5054317678315521
step512,2,prose_facts,2,2,2.7755575615628914e-16,3.0366572631712224e-15,0.3955502082755182,256,1,0.5369479638017026,0.502396918307578,0.35391771022122925,0.8326394605902148,0.7484406262853052
step512,2,prose_facts,2,3,3.3306690738754696e-16,2.1578157070021203e-15,0.5314512694031398,256,1,0.8326394605902148,0.5420642058131923,0.5299199824759138,1.1388446790867643,1.0091077495492704
step512,2,prose_facts,2,4,4.440892098500626e-16,1.7683958962361762e-15,0.563113895397689,256,1,1.1388446790867643,0.48591118543299355,0.6878768845011284,1.4489016568190671,1.2447130247110558
step512,2,prose_facts,2,5,5.551115123125783e-16,1.833800009671455e-15,0.6992645605876793,256,1,1.4489016568190671,0.5914193443766922,0.8218757404930911,1.9078577017252694,1.6203603223850873
step512,2,bracket_dictionary,3,0,1.43982048506075e-16,4.36121132200882e-15,0.056279386389490677,256,1,0.0,0.30333050702359515,0.0,0.30333050702359515,0.30333050702359515
step512,2,bracket_dictionary,3,1,2.0816681711721685e-16,2.0871819288445102e-15,0.21679042923061542,256,1,0.30333050702359515,0.4320159152968396,0.2646609470039096,0.5878978639534214,0.5307899527785194
step512,2,bracket_dictionary,3,2,3.3306690738754696e-16,1.868286573071139e-15,0.38519083130358034,256,1,0.5878978639534214,0.6115101824947123,0.4227683240236979,0.9573998548132805,0.864152955239247
step512,2,bracket_dictionary,3,3,3.3306690738754696e-16,1.9096206735345693e-15,0.43035718490687275,256,1,0.9573998548132805,0.5787456631523018,0.576510947233168,1.2834983722560953,1.1365604723079528
step512,2,bracket_dictionary,3,4,6.106226635438361e-16,2.7733186634911668e-15,0.5570780250998735,256,1,1.2834983722560953,0.5281618381611412,0.709065957975147,1.5769652122011877,1.389563778131385
step512,2,bracket_dictionary,3,5,6.106226635438361e-16,1.8687739727064353e-15,0.6412346239858548,256,1,1.5769652122011877,0.6101816262959866,0.77586771346365,1.9460576350549719,1.7268983501988864
step1000,3,compact_cards,0,0,1.5092094240998222e-16,1.3181790552619613e-14,0.03147002427267486,256,1,0.0,0.12602428756658562,0.0,0.12602428756658562,0.12602428756658562
step1000,3,compact_cards,0,1,3.0531133177191805e-16,4.433233903071202e-15,0.1395194471809554,256,1,0.12602428756658562,0.29388292435107327,0.10890306414093123,0.33054493847015787,0.3197141192910291
step1000,3,compact_cards,0,2,3.122502256758253e-16,3.181531598011292e-15,0.21762687316507853,256,1,0.33054493847015787,0.3163472927708898,0.1916638102166376,0.4770295212758745,0.4637972493567385
step1000,3,compact_cards,0,3,3.3306690738754696e-16,2.3827230468123208e-15,0.322081164670756,256,1,0.4770295212758745,0.5436368881628141,0.26086400745885907,0.7564798293371481,0.7386833241132913
step1000,3,compact_cards,0,4,3.3306690738754696e-16,1.6581642165157895e-15,0.5944010483442403,256,1,0.7564798293371481,0.9836088691964995,0.4666843782917003,1.417488074598622,1.3182062266572299
step1000,3,compact_cards,0,5,6.106226635438361e-16,2.3172345114707183e-15,0.7431323133884241,256,1,1.417488074598622,0.5370185229864146,0.8264045014198964,1.904090594272553,1.567472450704511
step1000,3,line_records,1,0,1.3183898417423734e-16,1.361249924213318e-14,0.038972828035954754,256,1,0.0,0.1455949796878809,0.0,0.1455949796878809,0.1455949796878809
step1000,3,line_records,1,1,2.7755575615628914e-16,4.633073735843934e-15,0.13073906887643383,256,1,0.1455949796878809,0.2629456531992942,0.1311671601310232,0.32287046058517893,0.3021509353627644
