arm,seed,step,accuracy,max_target_key_score_margin,mean_qk_factor_cosine
positive,107,200,0.00390625,0.08376681804656982,0.5998487432198595
positive,107,400,0.0068359375,0.07804441452026367,0.5301641079784951
positive,107,800,0.0048828125,0.09889578819274902,0.4286083727820481
positive,107,1600,0.46240234375,0.45927608013153076,0.15728189657941813
positive,107,3200,0.8916015625,0.8638683557510376,0.21696810707053846
positive,107,6400,0.9677734375,32.22199249267578,0.24239825348575422
positive,108,0,0.0,0.19108295440673828,1.0
positive,108,200,0.00341796875,0.0704813003540039,0.5937288383954393
positive,108,400,0.005859375,0.06520485877990723,0.5215632813257165
positive,108,800,0.013671875,0.06529659032821655,0.4268928979643175
positive,108,1600,0.494140625,0.7247983813285828,0.15329668323823073
positive,108,3200,0.947265625,2.436404228210449,0.23560830800129998
positive,108,6400,0.9794921875,4.475438117980957,0.207675075065001
positive,109,0,0.0,0.1868465095758438,1.0
positive,109,200,0.005859375,0.08631443977355957,0.5959934035874993
positive,109,400,0.00830078125,0.16854071617126465,0.5072292303471695
positive,109,800,0.0126953125,0.23079824447631836,0.4358006566635877
positive,109,1600,0.08544921875,0.374753475189209,0.2684216761607844
positive,109,3200,0.896484375,0.6531343460083008,0.19215170936892245
positive,109,6400,0.96435546875,26.03465461730957,0.2527309731667984
positive,110,0,0.0,0.18978001177310944,1.0
positive,110,200,0.0068359375,0.05256807804107666,0.5816800177680085
positive,110,400,0.0068359375,0.06389069557189941,0.5106994638424457
positive,110,800,0.0126953125,0.014536142349243164,0.4228555487762543
positive,110,1600,0.5302734375,0.09334313869476318,0.14707278969867987
positive,110,3200,0.92529296875,0.3579709529876709,0.20275659778099003
positive,110,6400,0.955078125,3.347095489501953,0.17520114599613063
positive,111,0,0.0,0.1854414939880371,0.9999999999999999
positive,111,200,0.00927734375,0.12281107902526855,0.6101015516359745
positive,111,400,0.0087890625,0.11998248100280762,0.5211288609274776
positive,111,800,0.01123046875,0.1621938943862915,0.4247516439688824
positive,111,1600,0.38671875,0.633946418762207,0.1189069182508687
positive,111,3200,0.90234375,1.9005708694458008,0.21170421759651464
positive,111,6400,0.94677734375,0.45236581563949585,0.22826852834971198
positive,112,0,0.0,0.19554220139980316,1.0
positive,112,200,0.0048828125,0.09670333564281464,0.5816144926988345
positive,112,400,0.00634765625,0.10843169689178467,0.5269338626896425
positive,112,800,0.00634765625,0.16376376152038574,0.45325946308700826
positive,112,1600,0.37744140625,0.208166241645813,0.1440863384842192
positive,112,3200,0.677734375,0.44348615407943726,0.21223731372381327
positive,112,6400,0.9287109375,1.9380817413330078,0.2085069746489816
positive,113,0,0.0,0.18969608843326569,1.0
positive,113,200,0.00244140625,0.06832492351531982,0.5911345047401406
positive,113,400,0.0078125,0.10025429725646973,0.5178444255963343
positive,113,800,0.0078125,0.12236166000366211,0.4399310099773649
positive,113,1600,0.265625,0.22285455465316772,0.1042709895011992
positive,113,3200,0.9140625,1.2189750671386719,0.23603030886894433
positive,113,6400,0.9794921875,2.5175623893737793,0.21716740841828014
positive,114,0,0.0,0.18070608377456665,1.0
positive,114,200,0.00732421875,0.0691690444946289,0.562812079535242
positive,114,400,0.00830078125,0.10180234909057617,0.5162831423650747
positive,114,800,0.01171875,0.1757720559835434,0.41629922969885563
positive,114,1600,0.51416015625,3.121365547180176,0.19480720838881024
positive,114,3200,0.76416015625,4.91838264465332,0.21506508169460709
positive,114,6400,0.9384765625,3.9448022842407227,0.2086554685770955
positive,115,0,0.0,0.18791119754314423,1.0
positive,115,200,0.0048828125,0.10583758354187012,0.5845152567047179
positive,115,400,0.00927734375,0.11163389682769775,0.5178994695550075
positive,115,800,0.01171875,0.2012317180633545,0.434952255301306
positive,115,1600,0.291015625,1.0703418254852295,0.13324394409946552
positive,115,3200,0.87841796875,1.7094554901123047,0.22013799018220992
positive,115,6400,0.93408203125,1.8767757415771484,0.22754209501747635
positive,116,0,0.0,0.185522198677063,1.0
positive,116,200,0.00634765625,0.13865087926387787,0.577702216791738
positive,116,400,0.009765625,0.08562231063842773,0.5260191566833994
positive,116,800,0.01220703125,0.14623558521270752,0.4387126974067337
positive,116,1600,0.2880859375,0.4920220375061035,0.10287146244875088
positive,116,3200,0.93505859375,2.7470383644104004,0.197213839315826
positive,116,6400,0.96875,3.719831943511963,0.17270770624705656
positive,117,0,0.0,0.20511803030967712,1.0
positive,117,200,0.00439453125,0.0937192440032959,0.588019233071944
positive,117,400,0.01220703125,0.1740877628326416,0.5195653736645236
positive,117,800,0.0146484375,0.16830384731292725,0.4414984936406184
positive,117,1600,0.43603515625,0.7509592771530151,0.11505105330085554
positive,117,3200,0.8876953125,1.1950864791870117,0.21246557862147814
positive,117,6400,0.96826171875,3.0346665382385254,0.23529023518128492
positive,118,0,0.0,0.19468814134597778,1.0
positive,118,200,0.00341796875,0.09855139255523682,0.5811169801039453
positive,118,400,0.0107421875,0.14653077721595764,0.5134600969273466
positive,118,800,0.01025390625,0.24247288703918457,0.4315110308886125
positive,118,1600,0.34521484375,1.0963972806930542,0.10374579936075465
positive,118,3200,0.7861328125,0.7764043211936951,0.1795479870093209
positive,118,6400,0.96435546875,2.1950809955596924,0.22506190107977814
positive,119,0,0.0,0.1865176409482956,1.0
positive,119,200,0.00439453125,0.09182299673557281,0.5962887895111555
positive,119,400,0.0048828125,0.09590482711791992,0.5426398245931487
