arm,seed,final_step,final_accuracy,final_nll,tail_accuracy_improvement,max_target_key_score_margin,max_margin_layer,max_margin_head,mean_qk_factor_cosine,mean_composite_skew_fraction
negative-small,100,6400,0.9716796875,0.1520601212978363,0.07177734375,2.973690986633301,0,1,0.17406380067806868,0.6249221088790207
negative-small,101,6400,0.96826171875,0.19043856859207153,0.0556640625,3.5411627292633057,0,0,0.15953001772675576,0.6407573039901308
negative-small,102,6400,0.94189453125,0.34586605429649353,0.0576171875,4.025412559509277,1,1,0.13035507432507287,0.6567538497711962
negative-small,103,6400,0.94482421875,0.33728575706481934,0.0322265625,1.183786392211914,1,0,0.16621656416897443,0.6584726349379361
negative-small,104,6400,0.9697265625,0.1575911045074463,0.05615234375,2.378464937210083,0,2,0.19436070554300144,0.6280157620863537
negative-small,105,6400,0.9423828125,0.37114858627319336,0.05615234375,0.5199427008628845,0,3,0.1938601047049771,0.6280768230639027
negative-small,106,6400,0.94189453125,0.3218883275985718,0.087890625,1.0315072536468506,0,2,0.15755785284431784,0.6626435784716496
negative-small,107,6400,0.95458984375,0.2795085310935974,0.04541015625,1.964634656906128,0,0,0.20131418802951,0.6097395611837335
negative-small,108,6400,0.943359375,0.31761348247528076,0.0849609375,0.6664888262748718,0,0,0.1310043962620458,0.6658855537873842
negative-small,109,6400,0.94873046875,0.26886844635009766,0.1728515625,0.3632655143737793,0,2,0.08887361524771735,0.6104930338444468
negative-small,110,6400,0.96630859375,0.16065141558647156,0.056640625,4.543503761291504,1,3,0.20156659302913008,0.6582255593125546
negative-small,111,6400,0.97412109375,0.15872865915298462,0.044921875,21.360734939575195,1,0,0.18726287341048892,0.6509350181999575
negative-small,112,6400,0.9697265625,0.18238434195518494,0.0546875,3.877284288406372,0,3,0.17601488625148803,0.6223953778043168
negative-small,113,6400,0.9716796875,0.15812838077545166,0.06787109375,41.19538116455078,1,2,0.19920605604653038,0.6327492814924045
negative-small,114,6400,0.98046875,0.10317765176296234,0.08544921875,13.850736618041992,1,0,0.143826849313072,0.6710945385001634
negative-small,115,6400,0.97314453125,0.13273672759532928,0.0517578125,30.35021209716797,1,0,0.1942643175765909,0.659405572593235
negative-small,116,6400,0.935546875,0.4156970679759979,0.0634765625,6.381954193115234,1,0,0.14398220538604833,0.6404302511246887
negative-small,117,6400,0.958984375,0.24794049561023712,0.0517578125,1.7654633522033691,0,0,0.20009866219638983,0.6031386179940302
negative-small,118,6400,0.97900390625,0.11869468539953232,0.06884765625,2.9493401050567627,0,1,0.18312807403794001,0.6325449329521149
negative-small,119,6400,0.96728515625,0.2066390961408615,0.04833984375,2.7664501667022705,0,0,0.132609616271402,0.6355353318015122
