analysis_schema_version,run_key,run_label,seed,step,group,relative_drift,alignment,effective_rank,frobenius_norm,initial_frobenius_norm,relative_amplitude,parameter_count,active_for_shape_interpretation
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,QK,0.0,1.0,3.730814218521118,0.15450206398963928,0.15450206398963928,1.0,1024,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,OV,0.0,1.0,2.7187492847442627,0.7038117051124573,0.7038117051124573,1.0,1024,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,FFN,0.0,1.0000001192092896,2.3688390254974365,0.3691205084323883,0.3691205084323883,1.0,2176,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,0,readout,0.0,1.0,2.0678353309631348,12.745535850524902,12.745535850524902,1.0,33,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,50,full,0.746638834476471,0.9432049989700317,2.4315812587738037,0.12132864445447922,0.4419249892234802,0.2745457881159186,5441,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,50,E,0.9104450941085815,0.5449872612953186,8.573498725891113,0.05565207079052925,0.29270076751708984,0.19013298551490784,1152,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,50,QK,0.9203317165374756,0.4006860852241516,6.229911804199219,0.04847318306565285,0.15450206398963928,0.31373809393836577,1024,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,50,OV,0.93513023853302,0.9284172654151917,2.7576868534088135,0.049452535808086395,0.7038117051124573,0.07026387235231434,1024,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,50,FFN,0.9307182431221008,0.9299045205116272,1.7704333066940308,0.027663080021739006,0.3691205084323883,0.07494322149484697,2176,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,50,readout,0.28485107421875,0.9750702381134033,1.2411657571792603,14.704296112060547,12.745535850524902,1.1536820644112014,33,True
1,primary_ffn,"Primary: C64, d16, H4, FFN32",0,100,full,0.8595455884933472,0.6109869480133057,4.142704963684082,0.12203238159418106,0.4419249892234802,0.27613822383886427,5441,True
