analysis_schema_version,run_key,run_label,seed,step,alpha,beta,probe_loss,is_snapshot_center
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.25,1.8531851768493652,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.20000000298023224,1.58586847782135,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.15000000596046448,1.446380615234375,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.10000000149011612,1.33836030960083,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,-0.05000000074505806,1.3201639652252197,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.0,1.3701176643371582,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.05000000074505806,1.3997900485992432,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.10000000149011612,1.417537808418274,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.15000000596046448,1.4788239002227783,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.20000000298023224,1.5766305923461914,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.25,1.72334885597229,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.30000001192092896,1.9382649660110474,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.3499999940395355,2.236194372177124,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.4000000059604645,2.8133468627929688,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.44999998807907104,3.698453664779663,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.5,4.3216657638549805,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.550000011920929,4.1115007400512695,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.44999998807907104,0.6000000238418579,3.7535266876220703,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.6000000238418579,6.301174640655518,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.550000011920929,5.289634704589844,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.5,4.496885776519775,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.44999998807907104,3.7063727378845215,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.4000000059604645,3.0189762115478516,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.3499999940395355,2.5137839317321777,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.30000001192092896,2.098867416381836,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.25,1.7562543153762817,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.20000000298023224,1.5243843793869019,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.15000000596046448,1.3857173919677734,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.10000000149011612,1.2554066181182861,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,-0.05000000074505806,1.2047251462936401,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.0,1.236586570739746,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.05000000074505806,1.2806580066680908,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.10000000149011612,1.3013534545898438,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.15000000596046448,1.338257074356079,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.20000000298023224,1.4094958305358887,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.25,1.54327392578125,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.30000001192092896,1.75612473487854,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.3499999940395355,2.0377116203308105,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.4000000059604645,2.470151424407959,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.44999998807907104,3.2004621028900146,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.5,3.721761465072632,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.550000011920929,3.7659404277801514,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.4000000059604645,0.6000000238418579,3.5240120887756348,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.6000000238418579,6.69835090637207,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.550000011920929,5.360748291015625,False
1,primary_noffn,"Primary: C64, d16, H4, no FFN",0,0,-0.3499999940395355,-0.5,4.349211692810059,False
