seed,arm,step,accuracy_l64_m4,nll_l64_m4,qk_factor_norm,ov_factor_norm,mean_target_score_margin,mean_attention_selectivity,mean_direct_full_card_s_key
108,qk-zero,1600,0.0546875,6.460014343261719,0.0,14.976005595583155,0.0,0.0,1.4032938480377197
108,qk-zero,3200,0.078125,6.210694789886475,0.0,20.000421352716394,0.0,0.0,1.5299277305603027
108,standard,0,0.0,9.038934707641602,7.24840755074085,5.448058291236129,0.0016805604755063541,0.00014899345114827156,-0.0001603861601324752
108,standard,200,0.05859375,7.479236125946045,11.624865992604315,7.816378858862395,0.00964789092540741,0.005655647080857307,0.5998334884643555
108,standard,400,0.08203125,6.742955684661865,13.947218581439357,9.756333128277463,-0.2251688465476036,0.0018246854888275266,1.0856671333312988
108,standard,800,0.125,5.847102165222168,16.296798983841917,12.542395622301171,-0.17602100037038326,-0.0007303148740902543,1.6771206855773926
108,standard,1600,0.921875,0.8090259432792664,19.57986162403684,19.96055009619016,-0.025800472125411034,-0.03747615672182292,-0.41997337341308594
108,standard,3200,0.9375,0.46473607420921326,22.765924225295777,23.360028577355973,0.132470291107893,-0.049989671155344695,-0.08236837387084961
109,qk-small,0,0.0,9.036933898925781,0.028356317408965555,5.442121958440617,3.803132919699692e-09,-4.656612873077393e-10,-0.0025390286464244127
109,qk-small,200,0.0546875,7.4512481689453125,9.31278463863118,7.7646518765320645,0.09613213548436761,0.007393224746920168,0.4716046154499054
109,qk-small,400,0.078125,6.633554935455322,11.936202353205507,9.694203475488326,0.10930120712146163,0.0049559519393369555,0.9387030005455017
109,qk-small,800,0.1015625,5.892828464508057,14.41022051132239,12.398183789989544,-0.0067087747156620026,0.015546548529528081,1.5265839099884033
109,qk-small,1600,0.78515625,1.2013137340545654,17.780117434616947,20.111653587876788,-1.0250112172216177,-0.03437331737950444,-0.2082066535949707
109,qk-small,3200,0.96875,0.17369148135185242,21.090048186824585,24.834034220727602,-1.4169052713550627,-0.019870541291311383,4.06430721282959
109,qk-zero,0,0.0,9.036933898925781,0.0,5.442121958440617,0.0,0.0,-0.002539088251069188
109,qk-zero,200,0.0078125,7.708740234375,0.0,7.5211701903278065,0.0,0.0,0.33241167664527893
109,qk-zero,400,0.01171875,7.239438533782959,0.0,9.101368560689403,0.0,0.0,0.5503175854682922
109,qk-zero,800,0.04296875,6.816249847412109,0.0,11.471661512549316,0.0,0.0,0.8000783324241638
109,qk-zero,1600,0.0546875,6.417109489440918,0.0,15.021432315278402,0.0,0.0,1.214809536933899
109,qk-zero,3200,0.07421875,6.184807777404785,0.0,19.98407927078822,0.0,0.0,1.5069177150726318
109,standard,0,0.0,9.037127494812012,7.259217256695182,5.442121958440617,0.00025585739058442414,9.404448792338371e-05,-0.002470682142302394
109,standard,200,0.04296875,7.456667423248291,11.610956261457579,7.762372032130437,0.09909321647137403,0.006433961912989616,0.47444242238998413
109,standard,400,0.0859375,6.642899990081787,13.949879643731158,9.697155416886181,0.08728740201331675,0.004522432282101363,0.9369910955429077
109,standard,800,0.09375,5.902742385864258,16.095219991270167,12.399594816002192,-0.045107658952474594,0.013430054998025298,1.7096437215805054
109,standard,1600,0.7890625,1.445970058441162,18.922686634249583,20.230863948482025,-0.50518460245803,-0.04070952255278826,-1.1680430173873901
109,standard,3200,0.94140625,0.5060563087463379,22.482193025138905,25.214352362562806,0.3009906248189509,-0.06068288230380858,0.5337071418762207
110,qk-small,0,0.0,9.056713104248047,0.028344350460343542,5.430469220649437,3.638717827048055e-08,3.4924596548080444e-09,0.012943635694682598
110,qk-small,200,0.04296875,7.531102180480957,9.366228807018846,7.7345648077591695,-0.04088016180321574,0.00486642902251333,0.4029240906238556
110,qk-small,400,0.0859375,6.838076591491699,11.874859919474723,9.711088306732181,0.006231397390365601,0.005279928678646684,0.9291741251945496
110,qk-small,800,0.0625,6.062674045562744,14.537467823993373,12.542354011499606,-0.058464885456487536,0.016746875131502748,1.4676400423049927
110,qk-small,1600,0.71484375,2.1557393074035645,18.0423891775928,18.832173753447297,-1.5574941579252481,-0.039328948594629765,-1.0770595073699951
110,qk-small,3200,0.92578125,0.7027238607406616,21.804859998533907,25.09558070287504,-2.3135432321578264,-0.05954472590019577,-0.9979078769683838
110,qk-zero,0,0.0,9.056714057922363,0.0,5.430469220649437,0.0,0.0,0.01294359564781189
110,qk-zero,200,0.0,7.812769889831543,0.0,7.439479155831678,0.0,0.0,0.295915812253952
110,qk-zero,400,0.01171875,7.409785270690918,0.0,9.002325241068515,0.0,0.0,0.4742197096347809
110,qk-zero,800,0.03125,6.980257511138916,0.0,11.396070918385055,0.0,0.0,0.7418487071990967
110,qk-zero,1600,0.05859375,6.736242294311523,0.0,14.729281308574647,0.0,0.0,1.0369938611984253
110,qk-zero,3200,0.0859375,6.309147357940674,0.0,19.86275940156129,0.0,0.0,1.3011051416397095
110,standard,0,0.0,9.056275367736816,7.256153717847947,5.430469220649437,0.0023884388101578224,0.00019241427071392536,0.01272300910204649
110,standard,200,0.046875,7.540936470031738,11.6605016404823,7.7146653089529815,0.004308260511606932,0.00713883969001472,0.42083096504211426
110,standard,400,0.0859375,6.875256538391113,13.969378463637506,9.686578263763046,0.027732104063034058,0.007211444084532559,0.9764900803565979
110,standard,800,0.26171875,5.34786319732666,17.019305823275424,12.678249275213366,0.04698554426431656,0.006091831484809518,0.7036869525909424
110,standard,1600,0.84375,1.0653517246246338,19.126728802501702,20.62242727706393,0.20711131114512682,-0.03282150288578123,-1.7555190324783325
110,standard,3200,0.921875,0.5345228314399719,22.739551869777056,24.87176745703384,0.35020607709884644,-0.054668811630108394,-0.4508969783782959
111,qk-small,0,0.0,9.0412015914917,0.028150397899321448,5.451092961723211,-5.526019036805607e-08,-5.122274160385132e-09,0.0005548099288716912
111,qk-small,200,0.03515625,7.44614315032959,9.576961303513263,7.821376396622297,0.08902841154485941,0.008860011235810816,0.5675146579742432
111,qk-small,400,0.08984375,6.701983451843262,12.163697283192207,9.765726635213307,-0.17281029745936394,0.004436627263203263,1.1553956270217896
111,qk-small,800,0.1015625,5.7349324226379395,14.64251084532946,12.576323689437382,-0.059496743604540825,0.0010688849724829197,1.824308156967163
111,qk-small,1600,0.7265625,1.9243817329406738,18.24575474105022,19.531254418944812,0.061795241199433804,-0.03223795333178714,-0.31151866912841797
111,qk-small,3200,0.9609375,0.36181604862213135,22.238188490949724,24.742844134748633,0.43758169654756784,-0.05790874478407204,1.396951675415039
111,qk-zero,0,0.0,9.0412015914917,0.0,5.451092961723211,0.0,-7.450580596923828e-09,0.0005547106266021729
111,qk-zero,200,0.0234375,7.722702980041504,0.0,7.537700067461856,0.0,-7.450580596923828e-09,0.33877259492874146
111,qk-zero,400,0.03125,7.328655242919922,0.0,9.14273109625885,0.0,-7.450580596923828e-09,0.6258338093757629
111,qk-zero,800,0.05078125,6.881494522094727,0.0,11.607673047920397,0.0,-7.450580596923828e-09,1.0016968250274658
111,qk-zero,1600,0.06640625,6.479706287384033,0.0,15.029857785154245,0.0,-7.450580596923828e-09,1.597164273262024
111,qk-zero,3200,0.0703125,6.055975914001465,0.0,20.177041571840924,0.0,-7.450580596923828e-09,1.803401231765747
111,standard,0,0.0,9.040897369384766,7.206501862226291,5.451092961723211,-0.003706115257955389,-0.0002369084395468235,0.0003471473464742303
111,standard,200,0.05078125,7.443882942199707,11.708550452304198,7.810093226688412,0.022622929885983467,0.007061445969156921,0.5870327949523926
111,standard,400,0.06640625,6.728100776672363,14.060986416211602,9.740260908795571,-0.11982591939158738,0.009488082607276738,1.1633329391479492
111,standard,800,0.09375,5.82448673248291,16.418649808638232,12.583183058205593,-0.03842341527342796,0.0025973825249820948,1.9823391437530518
111,standard,1600,0.7734375,1.377213716506958,19.72950531112672,20.472507452246628,0.15060503035783768,-0.03870041048503481,0.5637705326080322
111,standard,3200,0.9609375,0.3193136751651764,23.131468574420946,24.882359379306152,0.8061762214638293,-0.04292825696757063,0.11312413215637207
