alpha_training,arm_name,beta_random_orthogonal,fixed_probe_risk,log10_risk_over_center,seed,step
0.0,hard-factorized-constant-6400,-0.5,1.0472529776534019,-0.07975430923202424,100,0
0.0,hard-factorized-constant-6400,-0.3333333333333333,1.1620142832613718,-0.0345944467427846,100,0
0.0,hard-factorized-constant-6400,-0.16666666666666666,1.2366328786643723,-0.00756512408490586,100,0
0.0,hard-factorized-constant-6400,0.0,1.258362921696975,0.0,100,0
0.0,hard-factorized-constant-6400,0.16666666666666666,1.2416428850536005,-0.005809208843344615,100,0
0.0,hard-factorized-constant-6400,0.3333333333333333,1.2037121372993846,-0.019283273458290017,100,0
0.0,hard-factorized-constant-6400,0.5,1.1567983990519841,-0.036548234185929125,100,0
0.0,hard-factorized-constant-6400,0.6666666666666666,1.1136498377704729,-0.0530572549600368,100,0
0.0,hard-factorized-constant-6400,0.8333333333333334,1.0728619476082433,-0.06926207113876912,100,0
0.0,hard-factorized-constant-6400,1.0,1.028513873975654,-0.08759575867896778,100,0
0.16666666666666666,hard-factorized-constant-6400,-1.0,0.7084587914871054,-0.2494913191340152,100,0
0.16666666666666666,hard-factorized-constant-6400,-0.8333333333333334,0.7370143076006237,-0.23232999423071637,100,0
0.16666666666666666,hard-factorized-constant-6400,-0.6666666666666666,0.8031344903044416,-0.19501763617812481,100,0
0.16666666666666666,hard-factorized-constant-6400,-0.5,0.8855751042246744,-0.15258051417964177,100,0
0.16666666666666666,hard-factorized-constant-6400,-0.3333333333333333,0.9656635777852289,-0.11498006179356958,100,0
0.16666666666666666,hard-factorized-constant-6400,-0.16666666666666666,1.020279772205366,-0.09108663656495448,100,0
0.16666666666666666,hard-factorized-constant-6400,0.0,1.049191685851757,-0.07895107265990224,100,0
0.16666666666666666,hard-factorized-constant-6400,0.16666666666666666,1.0511286892995568,-0.07815002329880781,100,0
0.16666666666666666,hard-factorized-constant-6400,0.3333333333333333,1.0259097067059777,-0.08869677415752229,100,0
0.16666666666666666,hard-factorized-constant-6400,0.5,1.0014222164701656,-0.0991886911387149,100,0
0.16666666666666666,hard-factorized-constant-6400,0.6666666666666666,0.9820859415128315,-0.10765641890220276,100,0
0.16666666666666666,hard-factorized-constant-6400,0.8333333333333334,0.9571786468171104,-0.11881291148834476,100,0
0.16666666666666666,hard-factorized-constant-6400,1.0,0.9295772059957974,-0.13152044718026543,100,0
0.3333333333333333,hard-factorized-constant-6400,-1.0,0.7048878103635329,-0.25168591272491464,100,0
0.3333333333333333,hard-factorized-constant-6400,-0.8333333333333334,0.7183810773131813,-0.243451028922822,100,0
0.3333333333333333,hard-factorized-constant-6400,-0.6666666666666666,0.7208786362895746,-0.24194375798320555,100,0
0.3333333333333333,hard-factorized-constant-6400,-0.5,0.7413036466851238,-0.22980977655008836,100,0
0.3333333333333333,hard-factorized-constant-6400,-0.3333333333333333,0.7840902691920015,-0.20543984893819464,100,0
0.3333333333333333,hard-factorized-constant-6400,-0.16666666666666666,0.8321853527155405,-0.17958584558391996,100,0
0.3333333333333333,hard-factorized-constant-6400,0.0,0.877416169730994,-0.15660027942538068,100,0
