arm_name,cell_id,composite_max_abs_gap,fixed_probe_risk,gauge_coordinate,prediction_max_abs_gap,raw_parameter_relative_displacement,risk_absolute_gap,role,seed,step
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718493,-1.5,6.661338147750939e-16,1.707555604127685,0.0,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718472,-1.25,6.661338147750939e-16,1.245678588343361,2.168404344971009e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.0001891524135471848,-1.0,4.440892098500626e-16,0.8864609344276393,1.3552527156068805e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718472,-0.75,5.551115123125783e-16,0.6040558479577778,2.168404344971009e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.00018915241354718464,-0.5,5.551115123125783e-16,0.37592298637895843,2.981555974335137e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718483,-0.25,4.440892098500626e-16,0.1812602756238367,1.0842021724855044e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.0,0.00018915241354718493,0.0,0.0,0.0,0.0,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718472,0.25,4.440892098500626e-16,0.1876180806236619,2.168404344971009e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718477,0.5,8.881784197001252e-16,0.40121498397393496,1.6263032587282567e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718485,0.75,4.440892098500626e-16,0.6606822650178883,8.131516293641283e-20,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.00018915241354718472,1.0,6.661338147750939e-16,0.9871367728265381,2.168404344971009e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.00018915241354718466,1.25,4.440892098500626e-16,1.404397098771461,2.710505431213761e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.000189152413547185,1.5,8.881784197001252e-16,1.9408290746595824,5.421010862427522e-20,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718447,1.75,4.440892098500626e-16,2.6314841261200526,4.607859233063394e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.00018915241354718472,2.0,4.440892098500626e-16,3.520582270168769,2.168404344971009e-19,gauge_flat_numerical_negative_control,100,3200
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,4.440892098500626e-16,3.922750235527848e-05,-2.0,4.440892098500626e-16,3.095605360270699,9.486769009248164e-20,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.9227502355278546e-05,-1.75,4.440892098500626e-16,2.3212428439192645,2.710505431213761e-20,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,4.440892098500626e-16,3.922750235527826e-05,-1.5,8.881784197001252e-16,1.720782220177556,3.1170812458958252e-19,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.9227502355278695e-05,-1.25,4.440892098500626e-16,1.2551803310897758,1.2197274440461925e-19,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,4.440892098500626e-16,3.922750235527886e-05,-1.0,9.992007221626409e-16,0.8930665426800052,2.846030702774449e-19,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.92275023552786e-05,-0.75,4.440892098500626e-16,0.6084069881924065,2.710505431213761e-20,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.922750235527864e-05,-0.5,4.440892098500626e-16,0.37850875209795354,6.776263578034403e-20,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.922750235527855e-05,-0.25,6.661338147750939e-16,0.18243734946403617,2.0328790734103208e-20,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.0,3.922750235527857e-05,0.0,0.0,0.0,0.0,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.9227502355278844e-05,0.25,9.992007221626409e-16,0.1886892661051735,2.710505431213761e-19,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.7755575615628914e-16,3.922750235527845e-05,0.5,4.440892098500626e-16,0.40337909094512087,1.2197274440461925e-19,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.922750235527874e-05,0.75,4.440892098500626e-16,0.6640881711074569,1.6940658945086007e-19,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.922750235527853e-05,1.0,4.440892098500626e-16,0.9920598924092542,4.0657581468206416e-20,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.922750235527863e-05,1.25,4.440892098500626e-16,1.4112438923809358,5.421010862427522e-20,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,4.440892098500626e-16,3.922750235527873e-05,1.5,4.440892098500626e-16,1.950151043731753,1.5585406229479126e-19,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.922750235527852e-05,1.75,4.440892098500626e-16,2.6440037749772487,5.421010862427522e-20,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,3.92275023552786e-05,2.0,4.440892098500626e-16,3.5372326059320276,2.710505431213761e-20,gauge_flat_numerical_negative_control,100,6400
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173722,-2.0,9.992007221626409e-16,3.197388421906788,1.1102230246251565e-16,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173724,-1.75,1.1102230246251565e-15,2.3930517011397603,2.220446049250313e-16,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173721,-1.5,1.3322676295501878e-15,1.7687011585311867,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173724,-1.25,1.4432899320127035e-15,1.284114029259703,2.220446049250313e-16,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173721,-1.0,1.3322676295501878e-15,0.9072301612371548,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173721,-0.75,1.1102230246251565e-15,0.6118254976328648,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173724,-0.5,1.1102230246251565e-15,0.3755040506617598,2.220446049250313e-16,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173721,-0.25,1.3322676295501878e-15,0.17801238983511122,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.0,0.9834493464173721,0.0,0.0,0.0,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173721,0.25,9.992007221626409e-16,0.17765669341137694,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173721,0.5,1.1657341758564144e-15,0.37408959088018273,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173725,0.75,1.2212453270876722e-15,0.6086601438882872,3.3306690738754696e-16,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173721,1.0,1.2212453270876722e-15,0.9016049626966599,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173721,1.25,1.2212453270876722e-15,1.2752488150757992,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173721,1.5,1.3322676295501878e-15,1.7556749218294565,0.0,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173724,1.75,1.5543122344752192e-15,2.374724495319496,2.220446049250313e-16,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,1.1102230246251565e-16,0.9834493464173722,2.0,1.3322676295501878e-15,3.172314260347284,1.1102230246251565e-16,gauge_flat_numerical_negative_control,101,0
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,4.440892098500626e-16,0.013652234975530758,-2.0,1.2212453270876722e-15,3.251540411945957,5.204170427930421e-18,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.01365223497553076,-1.75,2.4702462297909733e-15,2.4343799768072154,3.469446951953614e-18,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,4.440892098500626e-16,0.013652234975530756,-1.5,2.6367796834847468e-15,1.8001910745068415,6.938893903907228e-18,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,4.440892098500626e-16,0.013652234975530756,-1.25,1.887379141862766e-15,1.3080525231921967,6.938893903907228e-18,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,4.440892098500626e-16,0.013652234975530765,-1.0,1.1102230246251565e-15,0.9253020008596365,1.734723475976807e-18,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.013652234975530751,-0.75,1.6653345369377348e-15,0.6251534408965783,1.214306433183765e-17,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.013652234975530754,-0.5,1.4432899320127035e-15,0.38464212574194495,8.673617379884035e-18,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,4.440892098500626e-16,0.013652234975530744,-0.25,2.2065682614424986e-15,0.18291477213584545,1.9081958235744878e-17,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,0.0,0.013652234975530763,0.0,0.0,0.0,0.0,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.013652234975530753,0.25,1.3322676295501878e-15,0.18383391735928006,1.0408340855860843e-17,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.013652234975530754,0.5,2.373101715136272e-15,0.3882972165831182,8.673617379884035e-18,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.013652234975530739,0.75,2.4702462297909733e-15,0.6333330670220435,2.42861286636753e-17,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.013652234975530756,1.0,1.5543122344752192e-15,0.9398382525455539,6.938893903907228e-18,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.013652234975530763,1.25,1.4432899320127035e-15,1.3309615415189187,0.0,gauge_flat_numerical_negative_control,101,800
hard-factorized-constant-6400,hard-factorized-constant-6400-6e9beb2f8bd9,2.220446049250313e-16,0.013652234975530753,1.5,1.6653345369377348e-15,1.8338529352628523,1.0408340855860843e-17,gauge_flat_numerical_negative_control,101,800
