arm_name,cell_id,center_fixed_probe_risk,coordinate_count,diagnostic_seed,inference_status,max_per_map_axis_absolute_cosine,max_per_map_axis_relative_norm_gap,maximum_fixed_probe_risk,minimum_fixed_probe_risk,numeric_path,plane_coordinate_system,proxy_prediction_max_abs_gap,rank_constraint_scope,reference_step,seed,step,training_axis_frobenius_norm,training_orientation
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.016002732543955542,13,2722699649806816212,descriptive_grid_not_independent_N,2.822681919755115e-17,2.2117123097109754e-16,0.1925732892894229,0.011342230751646743,numeric/hard-factorized-cosine-6400/seed-102/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,102,3200,3.9672976744710824,1.0
hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.0004345495156270925,13,8552770818013281452,descriptive_grid_not_independent_N,2.9780737384891275e-17,2.1670027486170073e-16,0.009707942058559998,0.00022326842564384687,numeric/hard-factorized-cosine-6400/seed-102/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,3200,102,6400,0.9265157418421062,1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,1.2583629483664494,13,2909639950174789295,descriptive_grid_not_independent_N,3.3149887505543457e-17,2.0662790786336294e-16,2.079613924343554,0.5391773458237807,numeric/hard-rank-matched-constant-6400/seed-100/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,100,0,4.89671921263055,-1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.05996335412980998,13,292734423512955021,descriptive_grid_not_independent_N,3.3149887505543457e-17,2.169590678847986e-16,0.7480084125749495,0.05996335412980998,numeric/hard-rank-matched-constant-6400/seed-100/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,0,100,800,4.89671921263055,1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.0006123277370132802,13,6086856371618115499,descriptive_grid_not_independent_N,3.9966626591512797e-17,2.1537919442804915e-16,0.5287222012057214,0.0006123277370132802,numeric/hard-rank-matched-constant-6400/seed-100/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,100,3200,5.246134272091546,1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.00023914859688916468,13,2078325443290807215,descriptive_grid_not_independent_N,3.402474940658192e-17,2.036337043985136e-16,0.14484546613292437,0.0002311316142189742,numeric/hard-rank-matched-constant-6400/seed-100/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,3200,100,6400,2.5750895148810233,1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.9834492928218916,13,1057465574896494087,descriptive_grid_not_independent_N,4.0792243376030475e-17,2.1116756819096761e-16,3.0275122959889735,0.7327206669158622,numeric/hard-rank-matched-constant-6400/seed-101/step-0/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,101,0,5.090480862337768,-1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.03409423759305312,13,6783997555822703165,descriptive_grid_not_independent_N,4.6986052046837684e-17,2.41611216720552e-16,1.2208669783536632,0.03409423759305312,numeric/hard-rank-matched-constant-6400/seed-101/step-800/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,0,101,800,5.090480862337768,1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.0011140280860326747,13,8208491973581130506,descriptive_grid_not_independent_N,6.222595915092293e-17,2.0001059135143404e-16,0.49062188811545365,0.0011140280860326747,numeric/hard-rank-matched-constant-6400/seed-101/step-3200/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,800,101,3200,4.259526107832859,1.0
hard-rank-matched-constant-6400,hard-rank-matched-constant-6400-e4d3bef28141,0.0073460931077747585,13,5958316126070907767,descriptive_grid_not_independent_N,4.5352323063494815e-17,1.6728186264457093e-16,0.2639693198887315,0.0006373784633121461,numeric/hard-rank-matched-constant-6400/seed-101/step-6400/composite_loss_plane.npz,ambient_composite_B_QtK_and_C_OV,0.0,ambient_can_leave_rank_limited_function_class,3200,101,6400,3.0499806108592815,1.0
