analysis_status,arm_name,cell_id,coherence,effective_rank,episode_count,feature_dimensionality_sum,global_offdiagonal_token_cosine,gram_offdiag_rms,query_distractor_mean_cosine,query_target_cosine,query_target_minus_distractor_cosine,row_norm_cv,row_norm_mean,seed,site,step,token_covariance_effective_rank,welch_bound
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.027557037997823997,,-0.06785658562075908,0.4419565096662219,0.509813095286981,,,101,layers.0.post_ffn_residual,6400,2.0807021590641215,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.07124997068564622,,-0.03600588321866684,0.9804544468444754,1.0164603300631423,,,101,layers.1.post_ffn_residual,6400,1.0640760560708642,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.9172356781611094,6.506299868969615,,6.699459607356197,,0.3555236962002777,,,,1.566949436241312e-08,1.0000000011274328,102,codebook,0,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.17240044747297967,,0.019568255693235802,0.36684444224277657,0.3472761865495408,,,102,input_embeddings,0,2.4884052730238233,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.453294305250669,,0.30196870644015394,0.5595017002595205,0.25753299381936656,,,102,layers.0.post_ffn_residual,0,2.3975425783624575,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.42510473994968784,,0.321992501926783,0.5723406657012711,0.25034816377448804,,,102,layers.1.post_ffn_residual,0,2.261555687771228,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,0.8808369805540426,4.421375660397105,,4.620631409990115,,0.4496404357734066,,,,0.08475181019546417,1.128402766116633,102,codebook,800,,0.3110855084191276
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.03506418183709477,,-0.1252237002049669,0.36708646683355595,0.4923101670385228,,,102,input_embeddings,800,2.5061147109040407,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.17668935710449518,,-0.03498196714058199,0.4946426804071558,0.5296246475477377,,,102,layers.0.post_ffn_residual,800,1.9533696317629623,
exploratory,hard-factorized-cosine-6400,hard-factorized-cosine-6400-14c47274dde1,,,256,,0.19391657114299762,,0.08207976383663129,0.8314010799629614,0.7493213161263301,,,102,layers.1.post_ffn_residual,800,1.282347556148169,
