step,time,mean_offdiagonal_cosine,mean_absolute_offdiagonal_cosine,mean_nearest_neighbor_cosine,high_alignment_pair_fraction,mean_resultant_length,gram_participation_rank,largest_gram_eigenvalue_fraction,mean_normalized_attention_entropy,max_unit_norm_error
12,1.2000000000000002,0.08728564788716967,0.5437057251256984,0.9734586092713238,0.08234126984126984,0.31866410158493325,2.5663939300427074,0.506179705882882,0.9650139130719102,2.220446049250313e-16
13,1.3,0.09760868278793769,0.5469452246893298,0.9737922776647272,0.0873015873015873,0.33422828593549075,2.5410692070981127,0.5129224190214745,0.965362278707787,2.220446049250313e-16
14,1.4000000000000001,0.10880423700845633,0.5504489904308785,0.9741286171830639,0.09126984126984126,0.35032723389025755,2.5150144996540567,0.519766365464048,0.9657528472931161,2.220446049250313e-16
15,1.5,0.1209201387242884,0.5542525913467076,0.9744656219833265,0.09424603174603174,0.3669547132232006,2.4883625422948263,0.5266773821685429,0.9661891487550276,2.220446049250313e-16
16,1.6,0.13400312190313773,0.5582717877759792,0.9748011179854662,0.09970238095238096,0.38410196969476895,2.461268089151345,0.5336174644854315,0.9666748243185533,2.220446049250313e-16
17,1.7000000000000002,0.1480983169900644,0.56229905863871,0.9751329261133089,0.10466269841269842,0.4017577389262025,2.433902867206957,0.5405461141533201,0.967213592521531,2.220446049250313e-16
18,1.8,0.16324872939449642,0.5665782905961594,0.9754873224763836,0.11359126984126984,0.4199082852215557,2.4064474245311267,0.547422411754088,0.9678092034322947,2.220446049250313e-16
19,1.9000000000000001,0.1794946951464855,0.5710082149814389,0.9758356285168435,0.12003968253968254,0.43853744484915047,2.3790795523878168,0.5542079299791836,0.9684653779069433,2.220446049250313e-16
20,2.0,0.19687328668191564,0.5752406757019652,0.9761752337184667,0.12549603174603174,0.45762663993424896,2.351959236261362,0.5608705591918051,0.9691857278187137,2.220446049250313e-16
21,2.1,0.21541762185465926,0.5792982836218514,0.9765150073907871,0.13293650793650794,0.4771548192287072,2.325210466004191,0.5673892404005818,0.9699736522006155,1.1102230246251565e-16
22,2.2,0.23515600904038841,0.5834230815815095,0.9768597436424298,0.14484126984126985,0.49709827639927723,2.2989006893823047,0.5737594879379395,0.9708322035379132,2.220446049250313e-16
23,2.3000000000000003,0.2561108451051448,0.5870807616697649,0.977233186180123,0.15476190476190477,0.5174302978666566,2.273019201028218,0.5799994300446902,0.9717639186503817,2.220446049250313e-16
24,2.4000000000000004,0.2782971763688415,0.5903895266703005,0.977748380131556,0.1636904761904762,0.5381206026422686,2.247456300285058,0.5861558953211135,0.9727706103945354,1.1102230246251565e-16
25,2.5,0.30172084075092676,0.5934862821556015,0.9782819037124144,0.1736111111111111,0.559134556805599,2.2219856149557358,0.5923098252093787,0.9738531201892751,3.3306690738754696e-16
26,2.6,0.32637613644966684,0.596343411848837,0.9788383412888524,0.18700396825396826,0.5804321746058199,2.196252554593751,0.5985800112075483,0.9750110369572337,2.220446049250313e-16
27,2.7,0.3522430116237347,0.5992730874426084,0.9794221304355235,0.20684523809523808,0.6019669547135573,2.1697723622162775,0.6051238919919013,0.9762423947917517,2.220446049250313e-16
28,2.8000000000000003,0.37928384089298606,0.6024103082896884,0.9800377062701378,0.2251984126984127,0.6236846405668759,2.1419415169769622,0.6121340153789595,0.9775433687049947,2.220446049250313e-16
29,2.9000000000000004,0.40743994417731666,0.6061621969919886,0.9806893410820815,0.24107142857142858,0.645522032969864,2.1120660128838207,0.6198289568437241,0.9789079946788358,2.220446049250313e-16
30,3.0,0.43662810179893763,0.6106801625261786,0.9813814410488515,0.25396825396825395,0.6674060141385673,2.0794089048939597,0.6284381845671716,0.9803279466253765,2.220446049250313e-16
31,3.1,0.46673741139477765,0.616202701747023,0.9821173435542347,0.2822420634920635,0.6892529574414128,2.0432570917829844,0.6381816301385752,0.9817924080189342,2.220446049250313e-16
32,3.2,0.4976268986120105,0.6232296494602392,0.9828953800013414,0.29910714285714285,0.7109686901131426,2.003003455067373,0.6492463107304898,0.983288078093786,1.1102230246251565e-16
33,3.3000000000000003,0.529124318814848,0.6319893884469819,0.9837149332834435,0.32142857142857145,0.732449145902544,1.9582355931225697,0.6617636485337215,0.9847993490626487,2.220446049250313e-16
